dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,0,      16.858759
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,1,      21.922604
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,2,       1.154398
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,3,       0.350276
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,4,       0.350146
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,5,       0.343406
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,6,       0.350827
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,7,       0.350926
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,8,       0.347287
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,9,       0.347596
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,10,       0.358906
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,11,       0.357996
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,12,       0.352516
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,13,       0.351056
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,14,       0.355086
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,15,       0.350157
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,16,       0.342986
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,17,       0.338487
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,18,       0.343996
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,19,       0.345867
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,20,       0.347267
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,21,       0.346796
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,22,       0.345866
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,23,       0.348336
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,24,       0.342516
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,25,       0.352996
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,26,       0.357046
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,27,       0.354666
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,28,       0.348416
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,29,       0.347396
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,30,       0.342287
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,31,       0.341006
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,32,       0.341866
