dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,0,       0.973089
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,1,       0.700603
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,2,       0.689882
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,3,       0.695753
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,4,       0.688702
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,5,       0.663042
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,6,       0.672283
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,7,       0.687693
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,8,       0.685623
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,9,       0.677902
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,10,       0.676643
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,11,       0.678243
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,12,       0.643493
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,13,       0.656373
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,14,       0.670623
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,15,       0.692413
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,16,       0.685003
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,17,       0.656244
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,18,       0.677753
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,19,       0.675883
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,20,       0.650562
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,21,       0.681573
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,22,       0.682542
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,23,       0.671583
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,24,       0.657453
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,25,       0.671783
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,26,       0.686753
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,27,       0.681122
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,28,       0.649273
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,29,       0.670653
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,30,       0.676352
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,31,       0.648193
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,32,       0.638763
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,33,       0.666223
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,34,       0.663593
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,35,       0.666672
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,36,       0.670503
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,37,       0.667663
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,38,       0.663353
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,39,       0.661033
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,40,       0.643033
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,41,       0.666563
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,42,       0.661793
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,43,       0.665313
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,44,       0.666493
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,45,       0.670692
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,46,       0.639243
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,47,       0.634183
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,48,       0.677902
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,49,       0.660563
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,50,       0.645843
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,51,       0.680372
