dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,72,       0.273447
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,73,       0.275897
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,74,       0.270147
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,0,       2.594371
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,1,       1.921049
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,2,       1.989578
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,3,       1.989848
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,4,       2.132566
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,5,       2.109097
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,6,       2.035007
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,7,       2.056687
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,8,       2.009478
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,9,       2.116396
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,10,       2.019688
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,11,       2.023347
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,12,       2.141686
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,13,       2.349513
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,14,       2.285155
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,15,       2.359894
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,16,       2.299305
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,17,       2.238035
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,18,       2.274915
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,19,       2.321064
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,20,       2.062577
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,21,       2.161636
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,22,       2.005498
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,23,       2.058437
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,24,       2.177786
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,25,       2.234796
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,26,       2.181256
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,27,       2.255665
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,28,       2.220015
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,29,       2.329974
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,30,       2.336084
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,31,       2.240545
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,32,       2.244775
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,33,       2.324524
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,34,       2.239795
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,35,       2.276744
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,36,       2.252825
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,37,       2.299164
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,38,       2.239836
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,39,       2.239165
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,40,       2.244615
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,41,       2.339644
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,42,       2.336434
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,43,       2.282125
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,44,       2.309984
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,45,       2.304955
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,46,       2.180147
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,47,       2.753240
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,48,       2.018987
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,49,       2.247575
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,50,       2.182295
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,51,       2.242905
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,52,       2.213315
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,53,       2.365083
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,54,       2.236395
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,55,       2.216006
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,56,       2.189495
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,57,       2.212116
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,58,       2.235536
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,59,       2.338844
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,60,       2.303564
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,61,       2.203476
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,62,       2.258705
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,63,       2.336504
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,64,       2.116256
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,65,       2.109037
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,66,       2.100847
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,67,       2.100247
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,68,       2.009428
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,69,       2.155656
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,70,       2.214526
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,71,       2.297705
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,72,       2.285015
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,73,       2.229745
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,74,       2.211345
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,0,       5.287801
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,1,       5.388751
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,2,       5.238422
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,3,       5.341181
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,4,       5.343911
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,5,       5.135873
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,6,       5.178913
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,7,       5.199502
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,8,       5.130993
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,9,       5.395380
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,10,       5.297181
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,11,       5.219012
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,12,       5.283691
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,13,       5.255391
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,14,       5.161863
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,15,       5.216022
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,16,       5.209222
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,17,       5.458120
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,18,       5.218752
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,19,       5.240181
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,20,       5.143683
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,21,       5.205563
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,22,       5.160953
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,23,       5.338391
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,24,       5.151233
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,25,       5.217992
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,26,       5.386460
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,27,       5.276941
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,28,       5.234062
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,29,       5.236622
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,30,       5.305662
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,31,       5.249232
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,32,       5.311202
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,33,       5.220212
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,34,       5.249552
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,35,       5.254062
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,36,       5.240852
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,37,       5.194063
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,38,       5.440390
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,39,       5.374441
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,40,       5.283882
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,41,       5.195402
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,42,       5.259372
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,43,       5.195822
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,44,       5.221482
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,45,       5.268192
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,46,       5.198302
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,47,       5.405520
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,48,       5.222422
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,49,       5.283981
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,50,       5.231292
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,51,       5.268841
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,52,       5.255502
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,53,       5.140953
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,54,       5.164153
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,55,       5.223132
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,56,       5.268582
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,57,       5.145753
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,58,       5.316441
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,59,       5.173462
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,60,       5.222422
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,61,       5.140293
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,62,       5.229832
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,63,       5.251572
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,64,       5.388030
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,65,       5.306321
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,66,       5.209833
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,67,       5.157633
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,68,       5.265742
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,69,       5.201543
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,70,       5.150163
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,71,       5.299581
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,72,       5.205752
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,73,       5.205862
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,74,       5.266281
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,0,      11.164186
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,1,      10.716521
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,2,      10.444384
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,3,      10.344305
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,4,      10.428055
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,5,      10.860649
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,6,      10.726001
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,7,      10.515444
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,8,      10.402495
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,9,      10.351695
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,10,      10.456125
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,11,      10.605893
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,12,      10.543184
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,13,      10.578322
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,14,      10.534963
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,15,      10.270696
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,16,      10.559503
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,17,      10.492113
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,18,      10.397205
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,19,      10.502004
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,20,      10.371155
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,21,      10.784960
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,22,      10.464074
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,23,      10.528053
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,24,      10.430564
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,25,      10.488134
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,26,      10.535653
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,27,      10.537723
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,28,      10.415904
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,29,      10.778030
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,30,      10.573163
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,31,      10.403415
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,32,      10.427354
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,33,      10.509853
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,34,      10.644262
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,35,      10.391935
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,36,      10.658692
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,37,      10.679712
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,38,      10.350876
