dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,0,      17.362017
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,1,      19.665100
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,2,      19.322293
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,3,      19.200353
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,4,      19.445821
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,5,       3.581713
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,6,       1.892976
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,7,       2.141204
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,8,       1.673147
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,9,       2.189903
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,10,       1.815756
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,11,       1.959255
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,12,       2.158573
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,13,       2.104104
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,14,       2.260893
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,15,       2.077664
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,16,       2.305313
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,17,       1.433229
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,18,       2.073815
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,19,       2.212453
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,20,       2.247483
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,21,       2.103174
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,22,       2.045854
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,23,       2.259073
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,24,       1.824446
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,25,       2.236933
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,26,       2.111443
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,27,       2.197693
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,28,       1.806707
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,29,       2.015304
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,30,       2.103444
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,31,       1.802087
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,32,       2.051534
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,33,       2.352382
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,34,       1.825526
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,35,       2.038605
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,36,       2.022935
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,37,       2.360022
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,38,       2.084334
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,39,       2.105493
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,40,       1.855476
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,41,       2.048344
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,42,       2.019575
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,43,       1.711917
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,44,       1.757927
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,45,       1.689837
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,46,       2.093095
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,47,       1.993485
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,48,       2.078394
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,49,       2.099614
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,50,       1.863935
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,51,       1.961785
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,52,       1.853046
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,53,       2.122554
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,54,       1.865635
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,55,       2.388221
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,56,       1.858986
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,57,       2.244063
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,58,       1.853736
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,59,       2.221553
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,60,       1.616247
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,61,       1.977954
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,62,       1.826966
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,63,       2.177494
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,64,       2.119614
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,65,       1.822996
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,66,       1.860576
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,67,       1.834156
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,68,       2.280873
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,69,       2.125854
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,70,       2.178193
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,71,       2.154673
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,72,       2.251763
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,73,       2.198223
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,74,       1.887266
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,0,       4.730873
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,1,       4.467916
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,2,       4.612754
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,3,       4.572426
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,4,       4.653124
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,5,       4.452626
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,6,       4.580665
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,7,       4.945803
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,8,       4.305147
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,9,       4.525926
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,10,       4.786064
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,11,       4.405066
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,12,       4.477066
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,13,       4.684864
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,14,       4.758373
