dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,39,       0.550474
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,40,       0.530054
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,41,       0.567524
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,42,       0.525155
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,43,       0.531845
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,44,       0.554534
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,45,       0.541345
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,46,       0.536094
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,47,       0.524125
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,48,       0.514744
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,49,       0.527034
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,50,       0.551314
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,51,       0.517105
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,52,       0.528864
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,53,       0.634103
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,54,       0.541504
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,55,       0.522635
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,56,       0.587283
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,57,       0.540744
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,58,       0.509984
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,59,       0.519865
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,60,       0.542864
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,61,       0.573924
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,62,       0.548424
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,63,       0.539404
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,64,       0.529264
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,65,       0.547464
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,66,       0.535544
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,67,       0.545404
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,68,       0.546144
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,69,       0.516195
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,70,       0.560744
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,71,       0.530524
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,72,       0.561854
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,73,       0.537014
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,74,       0.549854
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,0,       4.146655
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,1,       3.899587
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,2,       3.822719
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,3,       3.807369
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,4,       3.727230
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,5,       3.924708
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,6,       3.887138
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,7,       3.895628
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,8,       3.792039
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,9,       3.719120
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,10,       3.810409
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,11,       4.036807
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,12,       3.708970
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,13,       3.866688
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,14,       3.770119
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,15,       3.822079
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,16,       3.708590
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,17,       3.890798
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,18,       3.810219
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,19,       3.955777
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,20,       3.837559
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,21,       3.797510
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,22,       4.037316
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,23,       3.926148
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,24,       3.901598
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,25,       3.916808
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,26,       3.966137
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,27,       3.805989
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,28,       3.850849
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,29,       3.676600
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,30,       3.924738
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,31,       3.872878
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,32,       3.704461
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,33,       3.838628
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,34,       3.852349
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,35,       3.972427
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,36,       3.981097
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,37,       3.952218
