dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,double,uniform,PoisFFT,"D | D",128,8,       0.003591
1,double,uniform,PoisFFT,"D | D",128,9,       0.003600
1,double,uniform,PoisFFT,"D | D",128,10,       0.003589
1,double,uniform,PoisFFT,"D | D",128,11,       0.003580
1,double,uniform,PoisFFT,"D | D",128,12,       0.003620
1,double,uniform,PoisFFT,"D | D",128,13,       0.003570
1,double,uniform,PoisFFT,"D | D",128,14,       0.003580
1,double,uniform,PoisFFT,"D | D",128,15,       0.003590
1,double,uniform,PoisFFT,"D | D",128,16,       0.003590
1,double,uniform,PoisFFT,"D | D",128,17,       0.003590
1,double,uniform,PoisFFT,"D | D",128,18,       0.003570
1,double,uniform,PoisFFT,"D | D",128,19,       0.003590
1,double,uniform,PoisFFT,"D | D",128,20,       0.003590
1,double,uniform,PoisFFT,"D | D",128,21,       0.003580
1,double,uniform,PoisFFT,"D | D",128,22,       0.003600
1,double,uniform,PoisFFT,"D | D",128,23,       0.003580
1,double,uniform,PoisFFT,"D | D",128,24,       0.003570
1,double,uniform,PoisFFT,"D | D",128,25,       0.003580
1,double,uniform,PoisFFT,"D | D",128,26,       0.003580
1,double,uniform,PoisFFT,"D | D",128,27,       0.003580
1,double,uniform,PoisFFT,"D | D",128,28,       0.003560
1,double,uniform,PoisFFT,"D | D",128,29,       0.003570
1,double,uniform,PoisFFT,"D | D",128,30,       0.003560
1,double,uniform,PoisFFT,"D | D",128,31,       0.003580
1,double,uniform,PoisFFT,"D | D",128,32,       0.003590
1,double,uniform,PoisFFT,"D | D",128,33,       0.003580
1,double,uniform,PoisFFT,"D | D",128,34,       0.003569
1,double,uniform,PoisFFT,"D | D",128,35,       0.003591
1,double,uniform,PoisFFT,"D | D",128,36,       0.003580
1,double,uniform,PoisFFT,"D | D",128,37,       0.003590
1,double,uniform,PoisFFT,"D | D",128,38,       0.003620
1,double,uniform,PoisFFT,"D | D",128,39,       0.003580
