dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,0,      17.199691
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,1,      16.642756
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,2,       1.019412
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,3,       0.839933
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,4,       0.814744
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,5,       1.086771
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,6,       1.024031
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,7,       0.880233
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,8,       0.945932
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,9,       0.821843
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,10,       0.999121
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,11,       0.863703
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,12,       0.966992
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,13,       1.063012
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,14,       0.984142
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,15,       1.019202
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,16,       0.894193
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,17,       0.798763
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,18,       0.913513
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,19,       0.993462
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,20,       0.781683
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,21,       0.877253
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,22,       1.083771
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,23,       0.752323
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,24,       0.848083
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,25,       1.287219
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,26,       0.953022
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,27,       0.885633
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,28,       1.002362
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,29,       0.786033
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,30,       0.957832
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,31,       1.053892
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,32,       0.887552
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,33,       0.893413
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,34,       0.914073
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,35,       0.867264
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,36,       1.097701
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,37,       0.910513
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,38,       0.808923
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,39,       1.042792
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,40,       0.924302
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,41,       0.778373
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,42,       0.843133
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,43,       1.005082
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,44,       0.811984
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,45,       1.012151
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,46,       0.869853
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,47,       0.907112
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,48,       1.109981
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,49,       0.983472
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,50,       0.763564
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,51,       0.912672
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,52,       0.825443
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,53,       1.180031
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,54,       1.093082
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,55,       0.819593
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,56,       0.902593
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,57,       0.895963
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,58,       0.904922
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,59,       0.859583
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,60,       0.918942
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,61,       0.967352
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,62,       0.771014
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,63,       1.158581
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,64,       0.754414
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,65,       0.831263
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,66,       1.051291
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,67,       0.901283
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,68,       0.926673
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,69,       0.849593
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,70,       1.346389
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,71,       0.817754
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,72,       0.859163
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,73,       1.108161
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,74,       0.961452
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,0,       4.949940
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,1,       4.778811
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,2,       4.800911
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,3,       4.867731
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,4,       4.846981
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,5,       4.722612
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,6,       4.977290
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,7,       4.823751
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,8,       4.887541
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,9,       4.698372
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,10,       4.876160
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,11,       4.633712
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,12,       4.787471
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,13,       4.941981
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,14,       5.000250
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,15,       4.769222
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,16,       4.862851
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,17,       4.724512
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,18,       4.906961
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,19,       4.756472
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,20,       4.999589
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,21,       4.760551
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,22,       4.817211
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,23,       4.659923
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,24,       4.742042
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,25,       4.789961
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,26,       4.897801
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,27,       4.732352
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,28,       4.824881
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,29,       4.762432
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,30,       4.698582
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,31,       4.847441
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,32,       4.855801
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,33,       4.875561
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,34,       4.739532
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,35,       4.907691
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,36,       4.743671
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,37,       4.901941
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,38,       4.768911
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,39,       4.847051
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,40,       5.008379
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,41,       4.786302
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,42,       4.919010
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,43,       4.931300
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,44,       4.782602
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,45,       4.985259
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,46,       4.782652
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,47,       4.772042
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,48,       4.948349
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,49,       4.755322
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,50,       5.045899
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,51,       4.687712
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,52,       4.752131
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,53,       4.831371
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,54,       4.865790
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,55,       4.853411
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,56,       4.807381
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,57,       4.963410
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,58,       4.811161
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,59,       4.780681
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,60,       4.816481
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,61,       4.832811
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,62,       4.905650
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,63,       4.760622
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,64,       4.761152
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,65,       5.007940
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,66,       4.734152
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,67,       4.820171
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,68,       4.863311
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,69,       4.871670
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,70,       4.803781
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,71,       4.788032
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,72,       4.787352
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,73,       4.828421
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,74,       4.840161
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,0,      15.083588
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,1,      14.650632
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,2,      14.841660
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,3,      15.158087
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,4,      15.114648
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,5,      15.324676
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,6,      15.397295
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,7,      15.008149
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,8,      16.022760
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,9,      15.477115
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,10,      15.348386
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,11,      14.824160
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,12,      15.109398
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,13,      15.147638
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,14,      14.520933
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,15,      15.331507
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,16,      15.869822
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,17,      15.292257
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,18,      15.180617
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,19,      15.348236
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,20,      14.785211
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,21,      14.915369
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,22,      15.277577
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,23,      14.961309
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,24,      14.748841
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,25,      15.054078
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,26,      14.444884
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,27,      15.743533
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,28,      15.237717
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,29,      15.056368
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,30,      15.290506
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,31,      15.943771
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,32,      14.694412
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,33,      14.846980
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,34,      15.142618
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,35,      15.193267
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,36,      15.022038
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,37,      15.268366
