dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
2,double,uniform,PoisFFT,"P | P | P | P",64,0,       0.034740
2,double,uniform,PoisFFT,"P | P | P | P",64,1,       0.030340
2,double,uniform,PoisFFT,"P | P | P | P",64,2,       0.030480
2,double,uniform,PoisFFT,"P | P | P | P",64,3,       0.030260
2,double,uniform,PoisFFT,"P | P | P | P",64,4,       0.029990
2,double,uniform,PoisFFT,"P | P | P | P",64,5,       0.030069
2,double,uniform,PoisFFT,"P | P | P | P",64,6,       0.030209
2,double,uniform,PoisFFT,"P | P | P | P",64,7,       0.029800
2,double,uniform,PoisFFT,"P | P | P | P",64,8,       0.030130
2,double,uniform,PoisFFT,"P | P | P | P",64,9,       0.030990
2,double,uniform,PoisFFT,"P | P | P | P",64,10,       0.030020
2,double,uniform,PoisFFT,"P | P | P | P",64,11,       0.030099
2,double,uniform,PoisFFT,"P | P | P | P",64,12,       0.029720
2,double,uniform,PoisFFT,"P | P | P | P",64,13,       0.035329
2,double,uniform,PoisFFT,"P | P | P | P",64,14,       0.030370
2,double,uniform,PoisFFT,"P | P | P | P",64,15,       0.029800
2,double,uniform,PoisFFT,"P | P | P | P",64,16,       0.029949
2,double,uniform,PoisFFT,"P | P | P | P",64,17,       0.030089
2,double,uniform,PoisFFT,"P | P | P | P",64,18,       0.030220
2,double,uniform,PoisFFT,"P | P | P | P",64,19,       0.029710
2,double,uniform,PoisFFT,"P | P | P | P",64,20,       0.029980
2,double,uniform,PoisFFT,"P | P | P | P",64,21,       0.030020
2,double,uniform,PoisFFT,"P | P | P | P",64,22,       0.030149
2,double,uniform,PoisFFT,"P | P | P | P",64,23,       0.030199
2,double,uniform,PoisFFT,"P | P | P | P",64,24,       0.029959
2,double,uniform,PoisFFT,"P | P | P | P",64,25,       0.029949
2,double,uniform,PoisFFT,"P | P | P | P",64,26,       0.034240
2,double,uniform,PoisFFT,"P | P | P | P",64,27,       0.029980
2,double,uniform,PoisFFT,"P | P | P | P",64,28,       0.030150
2,double,uniform,PoisFFT,"P | P | P | P",64,29,       0.029859
2,double,uniform,PoisFFT,"P | P | P | P",64,30,       0.030009
2,double,uniform,PoisFFT,"P | P | P | P",64,31,       0.030059
2,double,uniform,PoisFFT,"P | P | P | P",64,32,       0.029830
2,double,uniform,PoisFFT,"P | P | P | P",64,33,       0.030280
2,double,uniform,PoisFFT,"P | P | P | P",64,34,       0.030050
