dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,0,       0.478715
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,1,       0.361186
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,2,       0.343306
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,3,       0.351636
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,4,       0.343937
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,5,       0.347757
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,6,       0.342256
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,7,       0.379006
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,8,       0.361336
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,9,       0.361936
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,10,       0.359116
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,11,       0.364097
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,12,       0.382826
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,13,       0.380946
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,14,       0.374725
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,15,       0.377186
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,16,       0.361697
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,17,       0.374356
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,18,       0.378156
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,19,       0.385305
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,20,       0.383546
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,21,       0.378656
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,22,       0.369576
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,23,       0.376776
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,24,       0.366346
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,25,       0.361046
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,26,       0.378936
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,27,       0.365746
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,28,       0.376166
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,29,       0.373496
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,30,       0.370506
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,31,       0.377216
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,32,       0.369076
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,33,       0.381716
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,34,       0.375826
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,35,       0.371367
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,36,       0.380226
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,37,       0.367056
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,38,       0.378146
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,39,       0.376946
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,40,       0.367066
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,41,       0.377376
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,42,       0.376296
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,43,       0.359976
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,44,       0.360546
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,45,       0.369116
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,46,       0.361257
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,47,       0.369926
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,48,       0.352466
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,49,       0.365646
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,50,       0.360486
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,51,       0.359586
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,52,       0.375427
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,53,       0.347016
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,54,       0.338436
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,55,       0.335856
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,56,       0.337566
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,57,       0.337517
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,58,       0.333817
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,59,       0.335376
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,60,       0.336186
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,61,       0.338096
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,62,       0.357676
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,63,       0.374907
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,64,       0.363706
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,65,       0.353746
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,66,       0.355766
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,67,       0.365446
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,68,       0.363126
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,69,       0.364666
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,70,       0.364186
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,71,       0.361146
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,72,       0.353407
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,73,       0.363105
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,74,       0.362266
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,0,       2.585492
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,1,       2.086478
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,2,       1.976209
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,3,       1.955449
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,4,       1.978478
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,5,       1.943568
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,6,       1.931609
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,7,       1.955379
