dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,0,      21.553807
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,1,      16.206125
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,2,       6.043655
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,3,       0.290097
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,4,       0.288577
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,5,       0.286457
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,6,       0.294726
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,7,       0.290487
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,8,       0.286647
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,9,       0.290727
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,10,       0.293047
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,11,       0.291216
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,12,       0.291627
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,13,       0.290297
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,14,       0.282847
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,15,       0.289496
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,16,       0.287046
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,17,       0.287227
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,18,       0.287327
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,19,       0.284197
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,20,       0.287757
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,21,       0.294397
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,22,       0.295377
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,23,       0.288657
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,24,       0.286947
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,25,       0.288117
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,26,       0.289907
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,27,       0.286556
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,28,       0.288507
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,29,       0.286626
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,30,       0.286807
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,31,       0.290507
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,32,       0.294707
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,33,       0.289547
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,34,       0.286937
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,35,       0.288126
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,36,       0.287777
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,37,       0.279097
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,38,       0.281137
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,39,       0.278087
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,40,       0.280237
