dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,0,       1.224787
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,1,       0.375436
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,2,       0.373776
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,3,       0.375946
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,4,       0.375946
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,5,       0.378736
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,6,       0.378116
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,7,       0.374376
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,8,       0.375206
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,9,       0.375816
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,10,       0.376756
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,11,       0.378466
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,12,       0.375016
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,13,       0.379186
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,14,       0.376756
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,15,       0.375496
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,16,       0.374646
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,17,       0.377865
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,18,       0.377616
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,19,       0.375426
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,20,       0.383516
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,21,       0.381986
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,22,       0.378276
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,23,       0.373086
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,24,       0.374016
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,25,       0.372126
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,26,       0.381496
