dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,0,      14.207932
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,1,       9.137349
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,2,       0.326417
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,3,       0.327006
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,4,       0.327526
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,5,       0.329716
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,6,       0.325716
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,7,       0.337816
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,8,       0.343546
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,9,       0.340727
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,10,       0.340206
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,11,       0.343166
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,12,       0.349006
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,13,       0.347466
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,14,       0.335366
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,15,       0.345236
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,16,       0.335736
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,17,       0.338906
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,18,       0.336456
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,19,       0.341057
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,20,       0.335786
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,21,       0.338186
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,22,       0.334606
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,23,       0.343646
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,24,       0.332537
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,25,       0.334576
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,26,       0.332267
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,27,       0.335836
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,28,       0.335436
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,29,       0.333807
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,30,       0.337996
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,31,       0.335316
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,32,       0.333436
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,33,       0.331076
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,34,       0.328776
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,35,       0.326756
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,36,       0.330956
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,37,       0.334356
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,38,       0.325586
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,39,       0.330146
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,40,       0.318276
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,41,       0.363256
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,42,       0.368256
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,43,       0.356796
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,44,       0.369856
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,45,       0.372896
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,46,       0.350456
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,47,       0.366976
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,48,       0.351796
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,49,       0.355216
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,50,       0.362705
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,51,       0.353366
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,52,       0.361436
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,53,       0.368726
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,54,       0.369986
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,55,       0.355666
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,56,       0.364736
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,57,       0.360346
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,58,       0.353366
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,59,       0.362496
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,60,       0.357096
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,61,       0.350596
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,62,       0.350196
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,63,       0.367546
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,64,       0.365526
