dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,0,      16.939548
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,1,      17.266145
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,2,      16.918558
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,3,      16.705092
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,4,      10.803158
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,5,       0.315937
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,6,       0.326416
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,7,       0.328346
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,8,       0.333466
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,9,       0.325106
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,10,       0.329376
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,11,       0.318977
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,12,       0.326007
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,13,       0.316627
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,14,       0.326706
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,15,       0.321956
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,16,       0.319006
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,17,       0.325966
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,18,       0.325187
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,19,       0.324306
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,20,       0.322077
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,21,       0.316766
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,22,       0.317436
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,23,       0.312407
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,24,       0.309876
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,25,       0.311246
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,26,       0.325886
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,27,       0.317666
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,28,       0.313887
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,29,       0.320627
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,30,       0.320107
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,31,       0.312466
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,32,       0.319206
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,33,       0.318767
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,34,       0.322237
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,35,       0.318456
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,36,       0.322736
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,37,       0.312017
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,38,       0.311286
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,39,       0.311426
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,40,       0.319656
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,41,       0.312257
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,42,       0.313786
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,43,       0.308697
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,44,       0.323206
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,45,       0.307636
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,46,       0.310847
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,47,       0.314406
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,48,       0.312816
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,49,       0.324287
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,50,       0.318036
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,51,       0.321327
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,52,       0.320887
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,53,       0.313616
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,54,       0.348746
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,55,       0.329917
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,56,       0.334056
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,57,       0.335336
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,58,       0.331076
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,59,       0.332236
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,60,       0.325106
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,61,       0.334106
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,62,       0.333786
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,63,       0.320416
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,64,       0.326126
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,65,       0.329867
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,66,       0.318287
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,67,       0.333416
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,68,       0.315086
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,69,       0.322636
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,70,       0.321327
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,71,       0.324456
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,72,       0.318917
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,73,       0.319217
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,74,       0.326676
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,0,       5.198132
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,1,       5.062712
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,2,       4.975834
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,3,       5.040333
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,4,       4.869425
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,5,       4.997864
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,6,       5.039113
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,7,       5.085593
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,8,       4.949224
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,9,       5.082273
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,10,       4.897595
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,11,       5.115102
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,12,       5.026833
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,13,       5.031283
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,14,       5.013873
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,15,       5.076412
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,16,       5.082352
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,17,       4.994834
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,18,       5.119722
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,19,       4.987754
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,20,       5.013634
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,21,       5.023733
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,22,       4.861614
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,23,       4.989633
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,24,       5.081893
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,25,       5.045434
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,26,       5.039143
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,27,       5.047253
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,28,       5.012773
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,29,       4.975973
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,30,       4.976183
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,31,       4.996493
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,32,       5.076893
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,33,       5.104052
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,34,       5.150281
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,35,       5.044393
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,36,       5.011243
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,37,       5.046823
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,38,       5.318809
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,39,       4.887585
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,40,       5.020173
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,41,       4.906834
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,42,       5.069163
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,43,       4.982384
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,44,       5.119102
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,45,       5.065113
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,46,       4.890234
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,47,       5.161322
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,48,       5.077853
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,49,       5.162832
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,50,       4.850085
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,51,       5.143882
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,52,       5.070543
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,53,       5.209971
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,54,       5.065032
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,55,       5.081443
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,56,       5.080673
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,57,       5.118923
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,58,       4.888755
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,59,       5.164251
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,60,       4.977904
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,61,       5.110092
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,62,       5.096402
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,63,       5.152551
