dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
2,float,uniform,PoisFFT,"P | P | P | P",64,0,       0.024430
2,float,uniform,PoisFFT,"P | P | P | P",64,1,       0.015570
2,float,uniform,PoisFFT,"P | P | P | P",64,2,       0.015540
2,float,uniform,PoisFFT,"P | P | P | P",64,3,       0.015410
2,float,uniform,PoisFFT,"P | P | P | P",64,4,       0.015390
2,float,uniform,PoisFFT,"P | P | P | P",64,5,       0.015450
2,float,uniform,PoisFFT,"P | P | P | P",64,6,       0.015490
2,float,uniform,PoisFFT,"P | P | P | P",64,7,       0.015409
2,float,uniform,PoisFFT,"P | P | P | P",64,8,       0.015370
2,float,uniform,PoisFFT,"P | P | P | P",64,9,       0.015449
2,float,uniform,PoisFFT,"P | P | P | P",64,10,       0.015450
2,float,uniform,PoisFFT,"P | P | P | P",64,11,       0.015419
2,float,uniform,PoisFFT,"P | P | P | P",64,12,       0.015360
2,float,uniform,PoisFFT,"P | P | P | P",64,13,       0.015310
2,float,uniform,PoisFFT,"P | P | P | P",64,14,       0.015370
2,float,uniform,PoisFFT,"P | P | P | P",64,15,       0.015400
2,float,uniform,PoisFFT,"P | P | P | P",64,16,       0.015409
2,float,uniform,PoisFFT,"P | P | P | P",64,17,       0.015350
2,float,uniform,PoisFFT,"P | P | P | P",64,18,       0.015319
2,float,uniform,PoisFFT,"P | P | P | P",64,19,       0.015390
2,float,uniform,PoisFFT,"P | P | P | P",64,20,       0.015399
2,float,uniform,PoisFFT,"P | P | P | P",64,21,       0.015380
2,float,uniform,PoisFFT,"P | P | P | P",64,22,       0.015449
2,float,uniform,PoisFFT,"P | P | P | P",64,23,       0.015300
2,float,uniform,PoisFFT,"P | P | P | P",64,24,       0.015469
2,float,uniform,PoisFFT,"P | P | P | P",64,25,       0.015310
2,float,uniform,PoisFFT,"P | P | P | P",64,26,       0.015270
2,float,uniform,PoisFFT,"P | P | P | P",64,27,       0.015440
2,float,uniform,PoisFFT,"P | P | P | P",64,28,       0.015390
2,float,uniform,PoisFFT,"P | P | P | P",64,29,       0.015380
2,float,uniform,PoisFFT,"P | P | P | P",64,30,       0.015380
2,float,uniform,PoisFFT,"P | P | P | P",64,31,       0.015380
2,float,uniform,PoisFFT,"P | P | P | P",64,32,       0.015320
2,float,uniform,PoisFFT,"P | P | P | P",64,33,       0.015590
2,float,uniform,PoisFFT,"P | P | P | P",64,34,       0.015410
2,float,uniform,PoisFFT,"P | P | P | P",64,35,       0.015400
2,float,uniform,PoisFFT,"P | P | P | P",64,36,       0.015360
2,float,uniform,PoisFFT,"P | P | P | P",64,37,       0.015420
2,float,uniform,PoisFFT,"P | P | P | P",64,38,       0.015390
2,float,uniform,PoisFFT,"P | P | P | P",64,39,       0.015320
2,float,uniform,PoisFFT,"P | P | P | P",64,40,       0.015319
2,float,uniform,PoisFFT,"P | P | P | P",64,41,       0.015460
2,float,uniform,PoisFFT,"P | P | P | P",64,42,       0.015420
2,float,uniform,PoisFFT,"P | P | P | P",64,43,       0.015360
2,float,uniform,PoisFFT,"P | P | P | P",64,44,       0.015470
2,float,uniform,PoisFFT,"P | P | P | P",64,45,       0.015390
2,float,uniform,PoisFFT,"P | P | P | P",64,46,       0.015440
2,float,uniform,PoisFFT,"P | P | P | P",64,47,       0.015240
2,float,uniform,PoisFFT,"P | P | P | P",64,48,       0.015420
2,float,uniform,PoisFFT,"P | P | P | P",64,49,       0.015370
2,float,uniform,PoisFFT,"P | P | P | P",64,50,       0.015360
2,float,uniform,PoisFFT,"P | P | P | P",64,51,       0.015330
2,float,uniform,PoisFFT,"P | P | P | P",64,52,       0.015460
2,float,uniform,PoisFFT,"P | P | P | P",64,53,       0.015369
2,float,uniform,PoisFFT,"P | P | P | P",64,54,       0.015410
2,float,uniform,PoisFFT,"P | P | P | P",64,55,       0.015320
2,float,uniform,PoisFFT,"P | P | P | P",64,56,       0.015430
2,float,uniform,PoisFFT,"P | P | P | P",64,57,       0.015380
2,float,uniform,PoisFFT,"P | P | P | P",64,58,       0.015400
2,float,uniform,PoisFFT,"P | P | P | P",64,59,       0.015330
2,float,uniform,PoisFFT,"P | P | P | P",64,60,       0.015350
2,float,uniform,PoisFFT,"P | P | P | P",64,61,       0.015320
2,float,uniform,PoisFFT,"P | P | P | P",64,62,       0.015360
2,float,uniform,PoisFFT,"P | P | P | P",64,63,       0.015430
2,float,uniform,PoisFFT,"P | P | P | P",64,64,       0.015389
2,float,uniform,PoisFFT,"P | P | P | P",64,65,       0.016510
2,float,uniform,PoisFFT,"P | P | P | P",64,66,       0.015520
2,float,uniform,PoisFFT,"P | P | P | P",64,67,       0.015380
2,float,uniform,PoisFFT,"P | P | P | P",64,68,       0.015410
2,float,uniform,PoisFFT,"P | P | P | P",64,69,       0.015500
2,float,uniform,PoisFFT,"P | P | P | P",64,70,       0.015400
2,float,uniform,PoisFFT,"P | P | P | P",64,71,       0.015320
2,float,uniform,PoisFFT,"P | P | P | P",64,72,       0.015379
2,float,uniform,PoisFFT,"P | P | P | P",64,73,       0.015380
2,float,uniform,PoisFFT,"P | P | P | P",64,74,       0.015329
2,float,uniform,PoisFFT,"P | P | P | P",128,0,       0.082529
2,float,uniform,PoisFFT,"P | P | P | P",128,1,       0.077609
2,float,uniform,PoisFFT,"P | P | P | P",128,2,       0.076559
2,float,uniform,PoisFFT,"P | P | P | P",128,3,       0.076649
2,float,uniform,PoisFFT,"P | P | P | P",128,4,       0.077149
2,float,uniform,PoisFFT,"P | P | P | P",128,5,       0.076469
2,float,uniform,PoisFFT,"P | P | P | P",128,6,       0.077120
2,float,uniform,PoisFFT,"P | P | P | P",128,7,       0.077149
2,float,uniform,PoisFFT,"P | P | P | P",128,8,       0.077669
2,float,uniform,PoisFFT,"P | P | P | P",128,9,       0.077169
2,float,uniform,PoisFFT,"P | P | P | P",128,10,       0.080839
2,float,uniform,PoisFFT,"P | P | P | P",128,11,       0.078019
2,float,uniform,PoisFFT,"P | P | P | P",128,12,       0.076859
2,float,uniform,PoisFFT,"P | P | P | P",128,13,       0.076989
2,float,uniform,PoisFFT,"P | P | P | P",128,14,       0.077449
2,float,uniform,PoisFFT,"P | P | P | P",128,15,       0.076509
2,float,uniform,PoisFFT,"P | P | P | P",128,16,       0.077620
2,float,uniform,PoisFFT,"P | P | P | P",128,17,       0.077999
2,float,uniform,PoisFFT,"P | P | P | P",128,18,       0.077089
