dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,double,uniform,PoisFFT,"Ds | Ds",64,0,       0.003480
1,double,uniform,PoisFFT,"Ds | Ds",64,1,       0.000660
1,double,uniform,PoisFFT,"Ds | Ds",64,2,       0.000550
1,double,uniform,PoisFFT,"Ds | Ds",64,3,       0.000530
1,double,uniform,PoisFFT,"Ds | Ds",64,4,       0.000540
1,double,uniform,PoisFFT,"Ds | Ds",64,5,       0.000530
1,double,uniform,PoisFFT,"Ds | Ds",64,6,       0.000530
1,double,uniform,PoisFFT,"Ds | Ds",64,7,       0.000540
1,double,uniform,PoisFFT,"Ds | Ds",64,8,       0.000540
1,double,uniform,PoisFFT,"Ds | Ds",64,9,       0.000520
1,double,uniform,PoisFFT,"Ds | Ds",64,10,       0.000530
1,double,uniform,PoisFFT,"Ds | Ds",64,11,       0.000530
1,double,uniform,PoisFFT,"Ds | Ds",64,12,       0.000530
1,double,uniform,PoisFFT,"Ds | Ds",64,13,       0.000520
1,double,uniform,PoisFFT,"Ds | Ds",64,14,       0.000529
1,double,uniform,PoisFFT,"Ds | Ds",64,15,       0.000520
1,double,uniform,PoisFFT,"Ds | Ds",64,16,       0.000529
1,double,uniform,PoisFFT,"Ds | Ds",64,17,       0.000529
1,double,uniform,PoisFFT,"Ds | Ds",64,18,       0.000520
1,double,uniform,PoisFFT,"Ds | Ds",64,19,       0.000530
1,double,uniform,PoisFFT,"Ds | Ds",64,20,       0.000520
1,double,uniform,PoisFFT,"Ds | Ds",64,21,       0.000530
1,double,uniform,PoisFFT,"Ds | Ds",64,22,       0.000530
1,double,uniform,PoisFFT,"Ds | Ds",64,23,       0.000530
1,double,uniform,PoisFFT,"Ds | Ds",64,24,       0.000530
1,double,uniform,PoisFFT,"Ds | Ds",64,25,       0.000520
1,double,uniform,PoisFFT,"Ds | Ds",64,26,       0.000540
1,double,uniform,PoisFFT,"Ds | Ds",64,27,       0.000540
1,double,uniform,PoisFFT,"Ds | Ds",64,28,       0.000520
1,double,uniform,PoisFFT,"Ds | Ds",64,29,       0.000540
1,double,uniform,PoisFFT,"Ds | Ds",64,30,       0.000530
1,double,uniform,PoisFFT,"Ds | Ds",64,31,       0.000510
1,double,uniform,PoisFFT,"Ds | Ds",64,32,       0.000520
1,double,uniform,PoisFFT,"Ds | Ds",64,33,       0.000520
1,double,uniform,PoisFFT,"Ds | Ds",64,34,       0.000530
1,double,uniform,PoisFFT,"Ds | Ds",64,35,       0.000500
1,double,uniform,PoisFFT,"Ds | Ds",64,36,       0.000530
1,double,uniform,PoisFFT,"Ds | Ds",64,37,       0.000530
1,double,uniform,PoisFFT,"Ds | Ds",64,38,       0.000510
1,double,uniform,PoisFFT,"Ds | Ds",64,39,       0.000520
1,double,uniform,PoisFFT,"Ds | Ds",64,40,       0.000520
1,double,uniform,PoisFFT,"Ds | Ds",64,41,       0.000520
1,double,uniform,PoisFFT,"Ds | Ds",64,42,       0.000520
1,double,uniform,PoisFFT,"Ds | Ds",64,43,       0.000520
1,double,uniform,PoisFFT,"Ds | Ds",64,44,       0.000531
1,double,uniform,PoisFFT,"Ds | Ds",64,45,       0.000520
1,double,uniform,PoisFFT,"Ds | Ds",64,46,       0.000520
1,double,uniform,PoisFFT,"Ds | Ds",64,47,       0.000540
1,double,uniform,PoisFFT,"Ds | Ds",64,48,       0.000530
1,double,uniform,PoisFFT,"Ds | Ds",64,49,       0.000520
1,double,uniform,PoisFFT,"Ds | Ds",64,50,       0.000510
1,double,uniform,PoisFFT,"Ds | Ds",64,51,       0.000510
1,double,uniform,PoisFFT,"Ds | Ds",64,52,       0.000510
1,double,uniform,PoisFFT,"Ds | Ds",64,53,       0.000520
1,double,uniform,PoisFFT,"Ds | Ds",64,54,       0.000520
1,double,uniform,PoisFFT,"Ds | Ds",64,55,       0.000530
1,double,uniform,PoisFFT,"Ds | Ds",64,56,       0.000520
1,double,uniform,PoisFFT,"Ds | Ds",64,57,       0.000540
1,double,uniform,PoisFFT,"Ds | Ds",64,58,       0.000540
1,double,uniform,PoisFFT,"Ds | Ds",64,59,       0.000530
1,double,uniform,PoisFFT,"Ds | Ds",64,60,       0.000530
1,double,uniform,PoisFFT,"Ds | Ds",64,61,       0.000510
1,double,uniform,PoisFFT,"Ds | Ds",64,62,       0.000520
1,double,uniform,PoisFFT,"Ds | Ds",64,63,       0.000520
1,double,uniform,PoisFFT,"Ds | Ds",64,64,       0.000520
1,double,uniform,PoisFFT,"Ds | Ds",64,65,       0.000520
1,double,uniform,PoisFFT,"Ds | Ds",64,66,       0.000520
1,double,uniform,PoisFFT,"Ds | Ds",64,67,       0.000510
1,double,uniform,PoisFFT,"Ds | Ds",64,68,       0.000520
1,double,uniform,PoisFFT,"Ds | Ds",64,69,       0.000550
1,double,uniform,PoisFFT,"Ds | Ds",64,70,       0.000520
1,double,uniform,PoisFFT,"Ds | Ds",64,71,       0.001220
1,double,uniform,PoisFFT,"Ds | Ds",64,72,       0.000560
1,double,uniform,PoisFFT,"Ds | Ds",64,73,       0.000560
1,double,uniform,PoisFFT,"Ds | Ds",64,74,       0.000510
1,double,uniform,PoisFFT,"Ds | Ds",128,0,       0.001929
1,double,uniform,PoisFFT,"Ds | Ds",128,1,       0.001150
1,double,uniform,PoisFFT,"Ds | Ds",128,2,       0.001100
1,double,uniform,PoisFFT,"Ds | Ds",128,3,       0.001080
1,double,uniform,PoisFFT,"Ds | Ds",128,4,       0.001070
1,double,uniform,PoisFFT,"Ds | Ds",128,5,       0.001080
1,double,uniform,PoisFFT,"Ds | Ds",128,6,       0.001060
1,double,uniform,PoisFFT,"Ds | Ds",128,7,       0.001090
1,double,uniform,PoisFFT,"Ds | Ds",128,8,       0.001080
1,double,uniform,PoisFFT,"Ds | Ds",128,9,       0.001080
1,double,uniform,PoisFFT,"Ds | Ds",128,10,       0.001080
1,double,uniform,PoisFFT,"Ds | Ds",128,11,       0.001090
1,double,uniform,PoisFFT,"Ds | Ds",128,12,       0.001080
