dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,0,      16.660917
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,1,      18.993542
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,2,      18.958162
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,3,      18.939803
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,4,      18.993882
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,5,      18.941652
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,6,      16.148023
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,7,      24.138516
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,8,      21.351606
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,9,      16.133213
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,10,       8.880883
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,11,       0.250958
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,12,       0.246888
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,13,       0.247477
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,14,       0.243968
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,15,       0.247147
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,16,       0.246837
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,17,       0.247627
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,18,       0.247427
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,19,       0.246267
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,20,       0.252547
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,21,       0.249287
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,22,       0.259467
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,23,       0.250437
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,24,       0.246268
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,25,       0.247618
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,26,       0.245048
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,27,       0.249877
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,28,       0.251207
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,29,       0.251577
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,30,       0.245977
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,31,       0.248317
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,32,       0.251577
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,33,       0.248947
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,34,       0.250688
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,35,       0.249597
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,36,       0.247187
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,37,       0.247487
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,38,       0.248027
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,39,       0.246658
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,40,       0.250277
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,41,       0.242847
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,42,       0.250977
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,43,       0.246507
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,44,       0.250707
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,45,       0.251017
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,46,       0.247647
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,47,       0.249087
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,48,       0.247677
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,49,       0.246588
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,50,       0.246818
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,51,       0.248457
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,52,       0.249678
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,53,       0.245518
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,54,       0.249417
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,55,       0.247017
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,56,       0.249637
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,57,       0.252887
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,58,       0.250837
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,59,       0.249297
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,60,       0.248847
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,61,       0.250377
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,62,       0.247627
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,63,       0.249878
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,64,       0.246608
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,65,       0.244538
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,66,       0.244148
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,67,       0.247517
