dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,55,       0.340597
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,56,       0.338586
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,57,       0.333986
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,58,       0.334366
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,59,       0.349476
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,60,       0.329936
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,61,       0.338197
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,62,       0.346366
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,63,       0.343276
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,64,       0.344396
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,65,       0.346326
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,66,       0.349816
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,67,       0.349577
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,68,       0.343037
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,69,       0.341946
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,70,       0.340687
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,71,       0.344706
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,72,       0.345877
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,73,       0.343146
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,74,       0.350586
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,0,       2.445894
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,1,       2.099948
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,2,       2.102067
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,3,       2.018858
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,4,       1.920429
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,5,       1.973918
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,6,       1.956708
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,7,       1.991038
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,8,       1.942829
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,9,       1.926859
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,10,       1.985229
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,11,       1.989339
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,12,       1.960429
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,13,       1.935868
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,14,       1.956789
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,15,       1.974839
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,16,       1.946219
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,17,       1.932419
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,18,       1.999228
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,19,       1.972088
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,20,       1.942168
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,21,       1.910269
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,22,       1.933970
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,23,       1.958399
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,24,       1.922979
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,25,       1.943699
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,26,       1.972408
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,27,       1.928829
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,28,       1.948069
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,29,       1.945549
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,30,       1.986228
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,31,       1.961039
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,32,       1.937189
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,33,       1.921409
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,34,       1.929179
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,35,       1.953279
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,36,       1.903899
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,37,       1.954449
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,38,       1.957419
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,39,       1.959949
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,40,       1.913990
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,41,       2.076357
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,42,       1.975549
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,43,       1.953949
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,44,       1.920199
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,45,       1.934249
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,46,       1.952069
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,47,       1.943169
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,48,       1.928329
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,49,       1.968039
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,50,       1.971719
