dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,0,       1.364595
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,1,       0.374646
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,2,       0.360946
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,3,       0.362766
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,4,       0.367646
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,5,       0.360696
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,6,       0.364646
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,7,       0.352306
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,8,       0.345206
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,9,       0.348316
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,10,       0.344687
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,11,       0.341336
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,12,       0.349046
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,13,       0.346466
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,14,       0.347696
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,15,       0.348656
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,16,       0.343176
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,17,       0.341947
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,18,       0.345206
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,19,       0.347836
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,20,       0.351786
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,21,       0.354676
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,22,       0.359346
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,23,       0.365646
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,24,       0.366676
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,25,       0.360266
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,26,       0.367166
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,27,       0.363476
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,28,       0.363566
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,29,       0.350966
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,30,       0.352226
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,31,       0.347797
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,32,       0.348327
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,33,       0.354606
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,34,       0.346897
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,35,       0.339606
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,36,       0.341176
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,37,       0.350606
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,38,       0.349926
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,39,       0.343057
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,40,       0.337286
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,41,       0.343727
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,42,       0.342126
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,43,       0.344016
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,44,       0.344967
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,45,       0.360936
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,46,       0.347046
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,47,       0.348447
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,48,       0.344806
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,49,       0.350437
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,50,       0.345357
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,51,       0.353676
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,52,       0.352606
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,53,       0.352157
