dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,0,      21.769463
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,1,      10.926341
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,2,       0.842861
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,3,       0.681263
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,4,       1.040960
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,5,       0.929291
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,6,       0.855481
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,7,       1.029280
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,8,       0.822511
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,9,       0.763353
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,10,       1.114829
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,11,       0.671464
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,12,       0.670553
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,13,       0.903421
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,14,       0.594914
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,15,       0.880941
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,16,       0.748453
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,17,       0.826251
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,18,       0.949160
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,19,       0.766013
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,20,       0.859692
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,21,       0.751783
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,22,       0.827262
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,23,       0.897761
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,24,       0.677294
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,25,       0.994320
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,26,       0.600584
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,27,       0.808772
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,28,       0.988111
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,29,       1.075169
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,30,       0.657554
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,31,       0.834162
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,32,       0.766622
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,33,       0.834561
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,34,       0.632244
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,35,       0.795202
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,36,       0.826282
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,37,       0.586864
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,38,       1.008920
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,39,       0.654023
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,40,       0.927361
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,41,       0.742803
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,42,       0.944441
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,43,       0.674023
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,44,       1.089919
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,45,       0.933741
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,46,       0.860841
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,47,       0.846231
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,48,       1.028069
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,49,       0.803723
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,50,       0.733442
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,51,       0.940491
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,52,       0.682454
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,53,       0.995220
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,54,       0.907000
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,55,       0.931161
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,56,       0.631984
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,57,       0.752253
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,58,       0.758313
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,59,       0.822192
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,60,       0.873391
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,61,       0.990020
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,62,       0.709973
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,63,       1.015650
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,64,       1.143189
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,65,       0.872532
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,66,       1.041649
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,67,       0.620553
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,68,       0.916901
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,69,       0.921141
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,70,       0.758582
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,71,       0.884492
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,72,       0.765423
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,73,       0.591504
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,74,       0.907121
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,0,       3.600114
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,1,       3.511435
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,2,       3.366466
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,3,       3.341966
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,4,       3.433855
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,5,       3.443876
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,6,       3.494586
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,7,       3.422546
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,8,       3.501905
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,9,       3.569404
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,10,       3.545915
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,11,       3.593524
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,12,       3.417906
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,13,       3.506615
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,14,       3.483695
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,15,       3.616304
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,16,       3.502815
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,17,       3.496445
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,18,       3.280368
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,19,       3.331537
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,20,       3.435556
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,21,       3.329037
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,22,       3.416086
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,23,       3.431476
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,24,       3.560084
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,25,       3.393396
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,26,       3.281257
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,27,       3.501485
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,28,       3.430756
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,29,       3.583044
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,30,       3.412966
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,31,       3.371876
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,32,       3.144478
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,33,       3.335537
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,34,       3.345977
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,35,       3.465496
