dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,38,      19.488157
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,39,      24.714819
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,40,       1.927279
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,41,       0.365876
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,42,       0.357407
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,43,       0.357566
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,44,       0.377386
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,45,       0.359156
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,46,       0.359256
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,47,       0.362936
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,48,       0.356066
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,49,       0.360816
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,50,       0.365736
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,51,       0.367386
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,52,       0.358267
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,53,       0.360666
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,54,       0.361345
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,55,       0.355206
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,56,       0.357096
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,57,       0.362256
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,58,       0.364156
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,59,       0.361846
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,60,       0.361676
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,61,       0.360696
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,62,       0.357566
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,63,       0.362846
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,64,       0.360277
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,65,       0.359176
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,66,       0.362696
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,67,       0.355836
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,68,       0.356607
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,69,       0.380256
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,70,       0.360796
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,71,       0.358056
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,72,       0.358956
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,73,       0.364456
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,74,       0.357736
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,0,       6.027383
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,1,       5.079025
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,2,       5.146494
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,3,       5.172363
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,4,       5.111904
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,5,       5.099465
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,6,       5.052475
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,7,       5.090134
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,8,       5.135704
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,9,       5.140253
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,10,       5.186794
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,11,       5.097945
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,12,       5.050585
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,13,       5.084384
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,14,       5.106924
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,15,       5.136484
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,16,       5.197203
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,17,       5.034935
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,18,       5.060935
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,19,       5.159004
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,20,       5.170124
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,21,       5.176814
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,22,       5.042495
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,23,       5.101495
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,24,       5.113224
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,25,       5.052544
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,26,       5.110414
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,27,       5.135594
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,28,       5.099494
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,29,       5.052005
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,30,       5.046625
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,31,       5.075525
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,32,       5.122214
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,33,       5.105134
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,34,       5.108664
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,35,       5.064485
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,36,       5.103744
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,37,       5.069514
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,38,       5.114274
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,39,       5.104964
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,40,       5.129793
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,41,       5.090645
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,42,       5.139844
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,43,       5.062015
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,44,       5.098655
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,45,       5.112874
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,46,       5.110954
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,47,       5.092744
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,48,       5.201973
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,49,       5.089474
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,50,       5.186244
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,51,       5.129294
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,52,       5.119184
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,53,       5.115474
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,54,       5.195994
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,55,       5.126894
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,56,       5.143224
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,57,       5.090095
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,58,       5.148604
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,59,       5.112594
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,60,       5.178073
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,61,       5.124004
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,62,       5.244643
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,63,       5.094214
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,64,       5.156724
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,65,       5.106444
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,66,       5.163304
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,67,       5.108064
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,68,       5.017215
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,69,       5.161633
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,70,       5.145193
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,71,       5.099565
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,72,       5.100704
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,73,       5.223683
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,74,       5.270592
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,0,      11.797681
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,1,      10.737502
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,2,      10.831182
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,3,      10.852581
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,4,      10.792232
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,5,      10.890071
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,6,      10.827491
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,7,      10.854981
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,8,      10.831992
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,9,      11.044779
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,10,      10.647493
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,11,      10.669163
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,12,      11.879730
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,13,      10.656463
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,14,      10.654473
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,15,      10.705722
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,16,      10.688293
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,17,      10.638323
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,18,      10.659683
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,19,      10.716553
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,20,      10.667543
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,21,      10.787812
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,22,      11.838360
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,23,      10.657283
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,24,      10.666183
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,25,      10.945700
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,26,      10.657133
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,27,      10.630393
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,28,      10.709403
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,29,      11.013690
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,30,      10.702633
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,31,      11.016230
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,32,      11.607533
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,33,      10.653243
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,34,      10.666904
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,35,      11.002690
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,36,      11.289096
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,37,      10.652024
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,38,      10.774993
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,39,      11.902300
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,40,      10.652043
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,41,      10.698683
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,42,      10.918521
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,43,      11.124888
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,44,      10.691173
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,45,      10.752022
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,46,      11.603683
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,47,      10.689573
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,48,      10.670513
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,49,      10.680553
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,50,      10.676833
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,51,      10.664723
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,52,      10.741363
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,53,      11.060779
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,54,      10.674264
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,55,      10.666814
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,56,      11.904340
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,57,      10.696253
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,58,      10.664723
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,59,      10.777402
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,60,      10.721783
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,61,      10.668843
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,62,      10.752892
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,63,      10.740803
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,64,      10.671463
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,65,      10.684173
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,66,      11.585103
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,67,      10.687003
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,68,      10.649563
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,69,      10.773432
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,70,      10.675814
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,71,      10.636894
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,72,      10.653473
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,73,      10.993759
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,74,      10.680873
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,0,      29.462747
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,1,      29.778044
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,2,      29.676885
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,3,      29.514597
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,4,      29.730285
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,5,      29.371218
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,6,      29.383988
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,7,      29.762224
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,8,      29.712295
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,9,      29.286729
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,10,      28.909183
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,11,      29.837963
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,12,      29.386168
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,13,      29.274569
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,14,      29.847903
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,15,      29.819603
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,16,      29.390728
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,17,      29.096962
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,18,      29.399189
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,19,      29.259200
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,20,      29.825083
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,21,      29.624636
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,22,      29.730414
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,23,      29.653075
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,24,      29.420137
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,25,      29.566416
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,26,      29.363718
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,27,      29.726315
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,28,      29.818893
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,29,      29.487307
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,30,      29.298480
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,31,      29.709095
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,32,      29.636496
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,33,      29.402588
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,34,      29.825793
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,35,      29.417778
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,36,      29.233040
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,37,      29.361569
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,38,      29.298069
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,39,      29.789414
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,40,      29.573806
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,41,      29.681705
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,42,      29.735695
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,43,      29.190261
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,44,      29.781244
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,45,      29.845684
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,46,      29.434738
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,47,      29.313349
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,48,      29.386228
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,49,      29.577236
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,50,      28.775395
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,51,      29.221600
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,52,      29.653906
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,53,      28.838805
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,54,      29.715315
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,55,      29.686395
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,56,      29.410098
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,57,      29.303819
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,58,      29.204250
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,59,      29.916942
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,60,      29.358789
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,61,      29.340578
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,62,      29.766464
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,63,      29.477277
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,64,      29.823413
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,65,      29.375019
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,66,      29.732935
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,67,      29.391808
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,68,      29.473738
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,69,      29.777894
