dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,16,      23.891534
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,17,      23.603608
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,18,      23.770246
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,19,      24.050093
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,20,      23.729006
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,21,      23.806725
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,22,      23.825295
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,23,      23.765386
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,24,      24.193271
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,25,      23.858585
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,26,      23.818475
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,27,      23.959853
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,28,      23.465939
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,29,      23.399940
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,30,      24.121872
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,31,      24.051233
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,32,      24.032453
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,33,      23.920014
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,34,      23.585018
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,35,      23.652947
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,36,      23.844305
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,37,      23.969574
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,38,      24.051113
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,39,      23.919534
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,40,      23.749826
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,41,      24.035792
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,42,      23.773316
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,43,      23.823855
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,44,      24.068772
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,45,      23.829095
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,46,      23.577898
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,47,      23.843745
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,48,      23.847395
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,49,      23.712596
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,50,      23.981903
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,51,      24.032812
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,52,      23.976234
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,53,      24.129181
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,54,      24.151911
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,55,      23.574158
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,56,      23.883094
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,57,      24.030703
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,58,      23.811605
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,59,      23.884665
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,60,      23.980473
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,61,      23.698846
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,62,      23.910114
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,63,      23.927244
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,64,      24.324519
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,65,      23.847915
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,66,      23.945344
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,67,      23.995503
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,68,      23.851394
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,69,      23.925394
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,70,      23.987873
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,71,      23.818676
