dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,0,      17.606454
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,1,      18.114378
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,2,      18.314286
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,3,      18.071108
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,4,      18.058409
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,5,      18.061929
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,6,      18.013130
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,7,      18.124868
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,8,      18.053040
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,9,      18.062539
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,10,      18.056870
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,11,      18.108348
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,12,      16.967471
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,13,      18.022259
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,14,      18.115478
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,15,      16.978491
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,16,      18.072828
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,17,      18.062299
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,18,      18.044539
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,19,      16.967781
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,20,      18.069799
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,21,      16.946162
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,22,      18.035710
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,23,      16.946201
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,24,      18.075438
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,25,      14.961533
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,26,      18.061219
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,27,      18.078559
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,28,      18.019629
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,29,      16.966401
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,30,      18.095118
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,31,      16.963601
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,32,      16.953972
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,33,      18.055390
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,34,      18.064848
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,35,       0.723742
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,36,       0.710522
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,37,       0.714752
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,38,       0.712512
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,39,       0.718592
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,40,       0.721572
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,41,       0.713312
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,42,       0.717582
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,43,       0.714703
