dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,0,       1.155238
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,1,       0.936679
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,2,       0.935169
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,3,       0.937650
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,4,       0.933679
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,5,       0.934889
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,6,       0.946029
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,7,       0.948470
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,8,       0.954919
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,9,       0.951930
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,10,       0.946659
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,11,       0.937510
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,12,       0.944769
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,13,       0.946319
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,14,       0.935170
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,15,       0.942440
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,16,       0.936190
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,17,       0.940239
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,18,       0.946039
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,19,       0.938760
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,20,       0.939560
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,21,       0.941529
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,22,       0.919930
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,23,       0.935650
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,24,       0.941750
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,25,       0.951220
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,26,       0.943950
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,27,       0.943200
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,28,       0.947080
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,29,       0.941439
