dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,0,       6.447531
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,1,       0.471065
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,2,       0.483035
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,3,       0.475406
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,4,       0.472675
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,5,       0.470935
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,6,       0.472955
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,7,       0.472445
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,8,       0.472675
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,9,       0.474235
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,10,       0.473965
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,11,       0.474205
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,12,       0.476855
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,13,       0.475875
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,14,       0.472075
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,15,       0.469836
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,16,       0.475355
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,17,       0.473915
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,18,       0.481925
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,19,       0.475305
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,20,       0.478675
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,21,       0.477845
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,22,       0.482874
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,23,       0.478225
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,24,       0.475344
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,25,       0.476625
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,26,       0.477805
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,27,       0.471805
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,28,       0.472925
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,29,       0.470795
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,30,       0.472755
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,31,       0.465435
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,32,       0.471565
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,33,       0.468585
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,34,       0.471285
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,35,       0.472775
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,36,       0.472815
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,37,       0.470755
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,38,       0.469925
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,39,       0.473105
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,40,       0.473225
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,41,       0.472865
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,42,       0.475225
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,43,       0.475255
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,44,       0.471285
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,45,       0.467135
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,46,       0.479055
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,47,       0.478035
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,48,       0.477975
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,49,       0.481975
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,50,       0.477015
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,51,       0.472455
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,52,       0.476715
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,53,       0.478085
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,54,       0.473015
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,55,       0.471565
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,56,       0.469935
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,57,       0.475575
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,58,       0.470626
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,59,       0.467415
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,60,       0.482705
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,61,       0.473065
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,62,       0.474325
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,63,       0.474395
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,64,       0.472165
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,65,       0.481195
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,66,       0.473545
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,67,       0.474855
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,68,       0.477055
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,69,       0.472945
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,70,       0.475045
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,71,       0.472555
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,72,       0.474485
