dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,0,      17.333672
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,1,      19.948523
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,2,      19.895684
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,3,      19.951253
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,4,      19.895293
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,5,      19.856284
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,6,       1.766841
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,7,       1.451884
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,8,       1.347445
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,9,       1.346116
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,10,       1.477184
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,11,       1.427124
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,12,       1.650472
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,13,       1.491684
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,14,       1.751781
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,15,       1.466955
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,16,       1.540003
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,17,       1.563972
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,18,       1.774091
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,19,       1.917449
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,20,       1.612862
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,21,       1.490734
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,22,       1.417774
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,23,       1.550403
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,24,       1.646782
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,25,       1.488494
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,26,       1.481624
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,27,       1.559083
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,28,       1.510113
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,29,       1.448315
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,30,       1.565993
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,31,       1.416584
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,32,       1.664582
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,33,       1.505373
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,34,       1.416045
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,35,       1.735951
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,36,       1.541693
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,37,       1.747911
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,38,       1.881740
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,39,       1.550043
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,40,       1.795950
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,41,       1.807750
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,42,       1.666372
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,43,       1.358145
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,44,       1.555092
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,45,       1.520194
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,46,       1.297455
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,47,       1.557223
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,48,       1.638883
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,49,       1.487164
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,50,       1.790690
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,51,       1.448744
