dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,0,      17.012787
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,1,       0.484475
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,2,       0.482835
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,3,       0.476455
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,4,       0.478095
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,5,       0.474725
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,6,       0.476425
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,7,       0.471465
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,8,       0.474425
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,9,       0.482465
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,10,       0.484625
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,11,       0.483265
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,12,       0.485035
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,13,       0.475775
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,14,       0.481815
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,15,       0.476784
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,16,       0.476975
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,17,       0.472484
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,18,       0.480165
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,19,       0.476495
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,20,       0.483375
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,21,       0.488455
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,22,       0.477835
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,23,       0.481585
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,24,       0.480454
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,25,       0.475725
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,26,       0.478165
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,27,       0.477115
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,28,       0.479485
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,29,       0.480355
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,30,       0.479484
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,31,       0.480015
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,32,       0.476745
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,33,       0.477205
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,34,       0.476895
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,35,       0.474446
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,36,       0.475455
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,37,       0.473945
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,38,       0.473974
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,39,       0.487895
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,40,       0.482755
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,41,       0.476905
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,42,       0.475565
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,43,       0.480565
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,44,       0.477065
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,45,       0.478815
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,46,       0.476305
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,47,       0.475785
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,48,       0.483625
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,49,       0.481795
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,50,       0.483615
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,51,       0.477305
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,52,       0.473805
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,53,       0.476315
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,54,       0.480144
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,55,       0.478025
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,56,       0.472995
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,57,       0.476705
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,58,       0.476515
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,59,       0.479655
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,60,       0.480534
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,61,       0.481055
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,62,       0.481964
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,63,       0.474135
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,64,       0.480285
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,65,       0.478345
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,66,       0.477555
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,67,       0.479054
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,68,       0.473605
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,69,       0.478985
