dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,0,       1.305045
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,1,       0.674983
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,2,       0.666522
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,3,       0.665503
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,4,       0.671093
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,5,       0.681483
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,6,       0.670502
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,7,       0.682562
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,8,       0.683723
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,9,       0.649343
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,10,       0.660103
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,11,       0.660182
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,12,       0.657283
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,13,       0.695812
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,14,       0.670432
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,15,       0.715842
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,16,       0.675742
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,17,       0.650443
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,18,       0.675393
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,19,       0.693872
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,20,       0.683982
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,21,       0.680772
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,22,       0.664563
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,23,       0.698802
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,24,       0.690423
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,25,       0.702222
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,26,       0.681053
