dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,0,       6.166012
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,1,       0.568814
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,2,       0.563354
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,3,       0.561463
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,4,       0.562494
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,5,       0.562873
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,6,       0.562914
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,7,       0.571174
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,8,       0.567603
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,9,       0.562664
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,10,       0.583564
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,11,       0.567673
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,12,       0.559594
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,13,       0.562214
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,14,       0.566464
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,15,       0.560124
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,16,       0.561674
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,17,       0.565574
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,18,       0.563303
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,19,       0.559873
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,20,       0.563473
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,21,       0.571774
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,22,       0.567823
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,23,       0.564213
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,24,       0.572294
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,25,       0.557853
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,26,       0.571644
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,27,       0.562633
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,28,       0.563643
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,29,       0.570214
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,30,       0.570053
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,31,       0.565874
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,32,       0.565834
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,33,       0.555934
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,34,       0.559724
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,35,       0.565083
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,36,       0.558434
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,37,       0.565314
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,38,       0.563344
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,39,       0.555104
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,40,       0.560833
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,41,       0.561374
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,42,       0.563993
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,43,       0.563294
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,44,       0.563254
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,45,       0.569964
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,46,       0.571504
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,47,       0.571033
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,48,       0.558344
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,49,       0.564594
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,50,       0.556574
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,51,       0.563484
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,52,       0.559443
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,53,       0.561054
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,54,       0.560554
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,55,       0.565924
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,56,       0.581493
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,57,       0.570573
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,58,       0.563924
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,59,       0.558054
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,60,       0.566954
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,61,       0.564303
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,62,       0.573844
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,63,       0.560864
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,64,       0.561024
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,65,       0.556364
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,66,       0.569204
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,67,       0.565454
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,68,       0.564964
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,69,       0.568604
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,70,       0.559594
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,71,       0.562003
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,72,       0.559324
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,73,       0.569344
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,74,       0.562894
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,0,      14.676246
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,1,      14.540089
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,2,      14.215252
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,3,      14.270802
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,4,      14.281041
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,5,      14.401090
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,6,      14.626897
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,7,      14.117233
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,8,      14.123403
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,9,      14.515679
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,10,      14.547829
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,11,      14.127913
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,12,      14.306902
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,13,      14.377710
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,14,      14.549039
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,15,      14.079693
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,16,      14.437230
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,17,      14.101753
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,18,      14.469499
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,19,      14.383781
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,20,      14.135103
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,21,      13.861996
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,22,      14.320111
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,23,      14.074224
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,24,      13.972625
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,25,      14.359591
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,26,      14.740136
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,27,      14.581698
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,28,      14.310461
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,29,      14.405491
