dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,float,uniform,PoisFFT,"D | D",64,0,       0.006420
1,float,uniform,PoisFFT,"D | D",64,1,       0.000930
1,float,uniform,PoisFFT,"D | D",64,2,       0.000870
1,float,uniform,PoisFFT,"D | D",64,3,       0.000880
1,float,uniform,PoisFFT,"D | D",64,4,       0.000860
1,float,uniform,PoisFFT,"D | D",64,5,       0.000830
1,float,uniform,PoisFFT,"D | D",64,6,       0.000830
1,float,uniform,PoisFFT,"D | D",64,7,       0.000840
1,float,uniform,PoisFFT,"D | D",64,8,       0.000830
1,float,uniform,PoisFFT,"D | D",64,9,       0.000820
1,float,uniform,PoisFFT,"D | D",64,10,       0.000850
1,float,uniform,PoisFFT,"D | D",64,11,       0.000840
1,float,uniform,PoisFFT,"D | D",64,12,       0.000820
1,float,uniform,PoisFFT,"D | D",64,13,       0.000840
1,float,uniform,PoisFFT,"D | D",64,14,       0.000831
1,float,uniform,PoisFFT,"D | D",64,15,       0.000851
1,float,uniform,PoisFFT,"D | D",64,16,       0.000840
1,float,uniform,PoisFFT,"D | D",64,17,       0.000840
1,float,uniform,PoisFFT,"D | D",64,18,       0.000840
1,float,uniform,PoisFFT,"D | D",64,19,       0.000850
1,float,uniform,PoisFFT,"D | D",64,20,       0.000830
1,float,uniform,PoisFFT,"D | D",64,21,       0.000830
1,float,uniform,PoisFFT,"D | D",64,22,       0.000840
1,float,uniform,PoisFFT,"D | D",64,23,       0.000840
1,float,uniform,PoisFFT,"D | D",64,24,       0.000820
1,float,uniform,PoisFFT,"D | D",64,25,       0.000860
1,float,uniform,PoisFFT,"D | D",64,26,       0.000840
1,float,uniform,PoisFFT,"D | D",64,27,       0.000870
1,float,uniform,PoisFFT,"D | D",64,28,       0.000840
1,float,uniform,PoisFFT,"D | D",64,29,       0.000830
1,float,uniform,PoisFFT,"D | D",64,30,       0.000840
1,float,uniform,PoisFFT,"D | D",64,31,       0.000840
1,float,uniform,PoisFFT,"D | D",64,32,       0.000830
1,float,uniform,PoisFFT,"D | D",64,33,       0.000840
1,float,uniform,PoisFFT,"D | D",64,34,       0.000830
1,float,uniform,PoisFFT,"D | D",64,35,       0.000840
1,float,uniform,PoisFFT,"D | D",64,36,       0.000830
1,float,uniform,PoisFFT,"D | D",64,37,       0.000830
1,float,uniform,PoisFFT,"D | D",64,38,       0.000839
1,float,uniform,PoisFFT,"D | D",64,39,       0.000840
1,float,uniform,PoisFFT,"D | D",64,40,       0.000840
1,float,uniform,PoisFFT,"D | D",64,41,       0.000840
1,float,uniform,PoisFFT,"D | D",64,42,       0.000840
1,float,uniform,PoisFFT,"D | D",64,43,       0.000829
