dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,0,      22.007634
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,1,      21.893196
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,2,      16.662314
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,3,      21.863866
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,4,      21.898555
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,5,      21.904625
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,6,      11.354173
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,7,       0.561264
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,8,       0.565524
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,9,       0.563783
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,10,       0.566994
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,11,       0.561594
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,12,       0.565214
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,13,       0.561374
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,14,       0.566194
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,15,       0.554384
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,16,       0.559404
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,17,       0.563834
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,18,       0.553924
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,19,       0.564944
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,20,       0.569244
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,21,       0.557674
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,22,       0.567774
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,23,       0.554574
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,24,       0.555473
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,25,       0.559144
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,26,       0.560064
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,27,       0.563664
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,28,       0.561754
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,29,       0.558574
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,30,       0.562473
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,31,       0.562744
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,32,       0.565924
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,33,       0.554154
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,34,       0.565014
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,35,       0.557434
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,36,       0.552254
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,37,       0.563804
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,38,       0.557724
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,39,       0.563713
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,40,       0.558934
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,41,       0.558104
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,42,       0.556254
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,43,       0.562944
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,44,       0.562454
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,45,       0.565243
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,46,       0.566734
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,47,       0.553424
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,48,       0.562404
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,49,       0.558694
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,50,       0.558923
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,51,       0.566903
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,52,       0.560464
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,53,       0.562004
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,54,       0.564094
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,55,       0.567014
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,56,       0.561024
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,57,       0.583814
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,58,       0.552404
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,59,       0.563654
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,60,       0.562514
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,61,       0.559803
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,62,       0.561364
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,63,       0.567254
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,64,       0.562764
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,65,       0.567804
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,66,       0.560463
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,67,       0.564493
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,68,       0.555994
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,69,       0.562974
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,70,       0.558314
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,71,       0.566124
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,72,       0.566253
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,73,       0.554314
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,74,       0.562544
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,0,      13.955284
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,1,      13.831766
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,2,      13.694686
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,3,      13.739966
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,4,      13.723966
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,5,      13.568688
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,6,      13.668957
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,7,      13.719147
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,8,      13.743847
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,9,      13.667277
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,10,      13.603827
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,11,      13.910974
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,12,      14.077643
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,13,      13.733746
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,14,      13.738896
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,15,      13.749086
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,16,      13.665237
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,17,      13.618308
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,18,      13.509169
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,19,      13.573008
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,20,      13.800346
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,21,      13.796166
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,22,      13.649267
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,23,      13.767416
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,24,      13.665987
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,25,      13.743416
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,26,      13.707797
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,27,      13.662827
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,28,      13.616148
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,29,      13.618178
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,30,      13.706067
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,31,      13.677117
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,32,      14.172861
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,33,      13.724157
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,34,      13.634768
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,35,      13.698797
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,36,      13.725986
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,37,      13.780106
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,38,      13.765636
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,39,      14.043783
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,40,      13.701797
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,41,      13.773646
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,42,      13.778985
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,43,      13.817685
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,44,      13.696707
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,45,      14.042863
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,46,      13.707396
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,47,      13.607418
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,48,      13.634358
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,49,      13.832055
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,50,      13.630127
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,51,      14.007834
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,52,      13.744207
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,53,      14.073463
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,54,      13.578708
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,55,      13.722466
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,56,      13.651367
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,57,      13.672597
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,58,      13.706976
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,59,      13.566938
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,60,      13.687096
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,61,      13.798946
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,62,      13.759156
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,63,      13.664257
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,64,      13.623708
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,65,      13.931205
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,66,      13.963543
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,67,      13.710437
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,68,      13.830885
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,69,      13.953274
