dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,65,       0.031780
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,66,       0.031610
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,67,       0.031629
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,68,       0.031620
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,69,       0.031640
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,70,       0.031560
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,71,       0.031670
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,72,       0.031809
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,73,       0.031600
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,74,       0.031560
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,0,       0.151978
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,1,       0.155729
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,2,       0.149968
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,3,       0.149639
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,4,       0.149659
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,5,       0.155428
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,6,       0.150248
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,7,       0.149878
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,8,       0.151288
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,9,       0.155718
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,10,       0.150249
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,11,       0.149658
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,12,       0.149759
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,13,       0.156369
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,14,       0.149768
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,15,       0.149659
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,16,       0.149868
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,17,       0.150028
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,18,       0.149979
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,19,       0.149768
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,20,       0.150058
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,21,       0.149549
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,22,       0.150129
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,23,       0.149978
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,24,       0.149769
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,25,       0.150058
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,26,       0.150078
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,27,       0.150188
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,28,       0.149988
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,29,       0.150108
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,30,       0.152219
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,31,       0.149898
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,32,       0.149488
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,33,       0.149939
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,34,       0.149768
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,35,       0.149828
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,36,       0.150209
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,37,       0.150158
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,38,       0.150348
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,39,       0.150289
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,40,       0.149808
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,41,       0.150548
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,42,       0.150239
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,43,       0.150178
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,44,       0.151958
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,45,       0.149429
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,46,       0.155228
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,47,       0.150018
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,48,       0.149299
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,49,       0.150668
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,50,       0.151669
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,51,       0.149769
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,52,       0.149438
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,53,       0.149588
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,54,       0.149729
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,55,       0.150328
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,56,       0.149749
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,57,       0.149698
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,58,       0.149658
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,59,       0.149799
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,60,       0.149658
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,61,       0.149559
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,62,       0.154519
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,63,       0.149768
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,64,       0.149368
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,65,       0.150069
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,66,       0.154418
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,67,       0.150059
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,68,       0.149668
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,69,       0.149498
