dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,0,       0.038599
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,1,       0.035890
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,2,       0.035919
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,3,       0.035339
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,4,       0.035639
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,5,       0.035360
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,6,       0.035630
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,7,       0.035680
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,8,       0.035380
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,9,       0.035540
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,10,       0.035599
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,11,       0.035730
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,12,       0.035639
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,13,       0.035839
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,14,       0.035689
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,15,       0.035700
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,16,       0.035620
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,17,       0.035720
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,18,       0.035670
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,19,       0.035480
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,20,       0.035910
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,21,       0.035689
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,22,       0.035529
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,23,       0.035699
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,24,       0.035709
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,25,       0.035940
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,26,       0.035810
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,27,       0.035810
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,28,       0.035690
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,29,       0.035690
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,30,       0.035880
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,31,       0.035639
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,32,       0.036079
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,33,       0.035489
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,34,       0.035719
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,35,       0.035349
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,36,       0.035920
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,37,       0.035470
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,38,       0.035560
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,39,       0.035420
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,40,       0.035720
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,41,       0.035450
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,42,       0.035209
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,43,       0.035639
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,44,       0.035639
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,45,       0.035580
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,46,       0.035660
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,47,       0.035680
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,48,       0.035590
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,49,       0.035480
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,50,       0.035580
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,51,       0.035239
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,52,       0.035520
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,53,       0.035409
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,54,       0.035619
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,55,       0.035439
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,56,       0.036269
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,57,       0.035680
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,58,       0.035200
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,59,       0.035620
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,60,       0.035710
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,61,       0.037030
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,62,       0.035410
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,63,       0.035440
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,64,       0.035710
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,65,       0.035400
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,66,       0.035720
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,67,       0.035490
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,68,       0.035649
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,69,       0.035549
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,70,       0.035539
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,71,       0.035680
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,72,       0.035370
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,73,       0.035500
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,74,       0.035640
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,0,       0.169358
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,1,       0.175948
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,2,       0.168278
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,3,       0.168418
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,4,       0.172748
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,5,       0.169088
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,6,       0.168688
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,7,       0.173378
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,8,       0.169198
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,9,       0.167628
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,10,       0.170678
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,11,       0.168548
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,12,       0.167789
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,13,       0.169788
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,14,       0.167478
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,15,       0.168888
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,16,       0.168259
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,17,       0.168948
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,18,       0.169018
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,19,       0.169108
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,20,       0.169058
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,21,       0.168588
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,22,       0.166908
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,23,       0.168788
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,24,       0.168128
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,25,       0.168408
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,26,       0.168198
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,27,       0.169188
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,28,       0.168798
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,29,       0.172738
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,30,       0.169318
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,31,       0.168848
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,32,       0.173698
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,33,       0.168818
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,34,       0.168268
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,35,       0.174908
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,36,       0.168638
