dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,0,       0.840560
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,1,       0.714602
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,2,       0.716022
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,3,       0.716042
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,4,       0.721772
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,5,       0.721481
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,6,       0.716882
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,7,       0.722832
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,8,       0.729342
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,9,       0.717722
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,10,       0.716052
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,11,       0.725532
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,12,       0.715982
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,13,       0.720923
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,14,       0.723642
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,15,       0.720742
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,16,       0.718842
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,17,       0.721212
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,18,       0.722211
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,19,       0.717252
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,20,       0.722101
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,21,       0.718022
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,22,       0.717222
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,23,       0.719752
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,24,       0.721932
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,25,       0.715242
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,26,       0.734402
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,27,       0.769471
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,28,       0.755821
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,29,       0.764411
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,30,       0.762802
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,31,       0.763832
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,32,       0.716962
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,33,       0.719922
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,34,       0.721452
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,35,       0.721272
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,36,       0.721381
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,37,       0.719592
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,38,       0.720232
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,39,       0.715242
