dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,0,       1.297515
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,1,       0.477624
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,2,       0.473395
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,3,       0.477284
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,4,       0.473625
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,5,       0.471904
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,6,       0.472124
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,7,       0.470985
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,8,       0.470045
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,9,       0.470825
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,10,       0.471195
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,11,       0.478375
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,12,       0.472485
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,13,       0.484554
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,14,       0.476155
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,15,       0.475644
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,16,       0.469325
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,17,       0.476504
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,18,       0.470955
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,19,       0.473025
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,20,       0.474235
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,21,       0.475654
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,22,       0.470635
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,23,       0.478635
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,24,       0.470855
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,25,       0.476975
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,26,       0.482505
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,27,       0.479034
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,28,       0.476585
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,29,       0.478484
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,30,       0.475915
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,31,       0.475844
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,32,       0.476965
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,33,       0.478534
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,34,       0.473924
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,35,       0.480644
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,36,       0.473205
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,37,       0.476504
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,38,       0.472095
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,39,       0.483434
