dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,0,      17.171769
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,1,      19.807849
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,2,      19.749200
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,3,      16.819693
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,4,      17.245278
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,5,       0.576534
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,6,       0.574584
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,7,       0.575263
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,8,       0.579153
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,9,       0.578534
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,10,       0.577294
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,11,       0.577463
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,12,       0.574773
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,13,       0.579104
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,14,       0.573814
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,15,       0.572373
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,16,       0.576453
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,17,       0.575544
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,18,       0.576224
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,19,       0.574704
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,20,       0.578174
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,21,       0.575414
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,22,       0.578623
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,23,       0.578313
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,24,       0.581814
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,25,       0.577573
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,26,       0.575984
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,27,       0.575424
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,28,       0.577054
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,29,       0.572504
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,30,       0.577553
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,31,       0.577683
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,32,       0.573503
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,33,       0.577974
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,34,       0.577954
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,35,       0.573363
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,36,       0.569193
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,37,       0.575584
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,38,       0.573793
