dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,0,      17.069212
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,1,      17.637355
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,2,      17.603865
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,3,      22.731259
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,4,      16.670965
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,5,      17.692955
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,6,      16.713885
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,7,      17.555846
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,8,       1.592562
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,9,       0.553503
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,10,       0.554414
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,11,       0.564954
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,12,       0.558354
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,13,       0.557724
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,14,       0.560154
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,15,       0.552724
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,16,       0.558944
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,17,       0.560994
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,18,       0.560644
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,19,       0.554974
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,20,       0.567644
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,21,       0.567333
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,22,       0.555554
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,23,       0.553363
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,24,       0.562804
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,25,       0.556314
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,26,       0.571734
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,27,       0.557884
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,28,       0.559764
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,29,       0.557594
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,30,       0.547584
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,31,       0.559824
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,32,       0.559584
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,33,       0.558234
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,34,       0.563484
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,35,       0.555903
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,36,       0.551844
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,37,       0.567824
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,38,       0.565783
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,39,       0.555324
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,40,       0.568284
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,41,       0.558864
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,42,       0.559804
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,43,       0.555584
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,44,       0.566924
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,45,       0.560014
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,46,       0.556794
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,47,       0.559794
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,48,       0.549183
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,49,       0.565494
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,50,       0.556454
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,51,       0.569444
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,52,       0.579623
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,53,       0.556214
