dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,43,       0.469484
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,44,       0.470275
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,45,       0.466174
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,46,       0.468615
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,47,       0.470854
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,48,       0.473184
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,49,       0.467774
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,50,       0.473484
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,51,       0.465105
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,52,       0.467555
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,53,       0.470374
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,54,       0.469065
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,55,       0.466665
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,56,       0.471964
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,57,       0.468414
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,58,       0.467904
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,59,       0.471735
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,60,       0.461355
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,61,       0.468664
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,62,       0.472704
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,63,       0.467615
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,64,       0.465535
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,65,       0.471834
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,66,       0.468685
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,67,       0.467795
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,68,       0.471804
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,69,       0.470505
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,70,       0.464404
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,71,       0.476544
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,72,       0.470135
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,73,       0.468255
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,74,       0.472605
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,0,       9.147083
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,1,       8.933006
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,2,       9.005325
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,3,       8.931196
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,4,       9.009805
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,5,       8.971085
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,6,       9.061005
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,7,       9.086804
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,8,       9.124724
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,9,       9.012355
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,10,       9.039825
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,11,       9.002926
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,12,       9.043405
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,13,       9.035445
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,14,       8.978355
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,15,       8.956096
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,16,       9.094234
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,17,       9.115194
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,18,       9.151853
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,19,       9.159813
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,20,       9.042855
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,21,       9.044275
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,22,       9.129564
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,23,       9.006045
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,24,       9.042885
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,25,       9.039064
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,26,       9.083395
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,27,       9.059854
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,28,       9.025635
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,29,       8.944466
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,30,       9.039595
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,31,       9.003725
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,32,       9.037284
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,33,       9.056564
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,34,       9.108134
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,35,       9.125003
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,36,       9.002735
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,37,       9.040755
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,38,       9.042775
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,39,       8.978156
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,40,       9.022635
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,41,       9.043965
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,42,       9.060894
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,43,       9.094444
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,44,       9.186743
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,45,       9.031824
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,46,       9.019665
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,47,       8.995075
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,48,       9.042824
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,49,       8.979835
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,50,       9.105044
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,51,       8.997696
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,52,       9.033515
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,53,       9.204253
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,54,       9.051554
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,55,       9.080934
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,56,       9.116514
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,57,       9.024485
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,58,       8.847936
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,59,       9.006495
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,60,       8.837057
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,61,       9.094224
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,62,       8.996725
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,63,       8.898626
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,64,       8.893096
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,65,       8.948395
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,66,       9.101604
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,67,       8.954255
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,68,       8.949906
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,69,       9.143874
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,70,       9.036645
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,71,       9.037984
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,72,       8.864186
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,73,       8.889036
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,74,       8.927605
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,0,      13.054588
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,1,      13.241506
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,2,      13.193836
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,3,      13.128237
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,4,      13.252166
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,5,      13.169257
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,6,      13.230106
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,7,      13.172576
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,8,      13.218756
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,9,      13.306725
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,10,      13.147387
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,11,      13.205816
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,12,      13.243936
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,13,      13.173536
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,14,      13.216506
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,15,      13.242495
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,16,      13.136547
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,17,      13.116257
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,18,      13.133447
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,19,      13.196946
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,20,      13.225596
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,21,      13.190336
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,22,      13.199006
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,23,      13.186636
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,24,      13.177736
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,25,      13.234666
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,26,      13.274586
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,27,      13.267026
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,28,      13.183457
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,29,      13.293675
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,30,      13.151307
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,31,      13.259485
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,32,      13.232995
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,33,      13.159347
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,34,      13.230156
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,35,      13.181856
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,36,      13.190986
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,37,      13.276815
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,38,      13.275625
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,39,      13.247616
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,40,      13.180756
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,41,      13.238736
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,42,      13.162256
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,43,      13.152407
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,44,      13.268455
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,45,      13.177537
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,46,      13.174426
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,47,      13.227975
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,48,      13.157217
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,49,      12.764991
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,50,      13.122997
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,51,      13.187096
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,52,      13.215366
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,53,      13.176946
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,54,      13.148907
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,55,      13.130967
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,56,      13.298095
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,57,      13.231185
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,58,      13.235115
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,59,      13.170617
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,60,      13.172856
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,61,      13.286385
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,62,      13.245165
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,63,      13.273766
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,64,      13.159286
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,65,      13.377234
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,66,      13.111187
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,67,      13.170896
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,68,      13.319735
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,69,      13.201856
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,70,      13.178316
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,71,      13.239276
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,72,      13.160657
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,73,      13.273206
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,74,      13.247336
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,0,      35.765293
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,1,      35.633845
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,2,      35.581455
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,3,      35.715354
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,4,      35.706294
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,5,      35.535326
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,6,      35.667465
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,7,      35.556276
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,8,      35.499197
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,9,      35.600785
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,10,      35.601975
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,11,      35.765883
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,12,      35.826933
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,13,      35.716163
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,14,      35.746053
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,15,      35.628255
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,16,      35.684304
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,17,      35.664275
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,18,      35.781142
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,19,      35.777533
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,20,      35.596646
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,21,      35.595495
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,22,      35.703304
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,23,      35.716543
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,24,      35.937231
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,25,      35.588674
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,26,      35.609236
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,27,      35.599295
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,28,      35.636534
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,29,      35.749153
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,30,      35.736723
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,31,      35.726923
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,32,      35.673165
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,33,      35.736363
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,34,      35.759493
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,35,      35.768553
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,36,      35.802303
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,37,      35.747654
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,38,      35.594785
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,39,      35.814642
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,40,      35.584546
