dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
2,float,uniform,PoisFFT,"D | D | D | D",64,0,       0.088339
2,float,uniform,PoisFFT,"D | D | D | D",64,1,       0.082179
2,float,uniform,PoisFFT,"D | D | D | D",64,2,       0.081719
2,float,uniform,PoisFFT,"D | D | D | D",64,3,       0.082249
2,float,uniform,PoisFFT,"D | D | D | D",64,4,       0.081679
2,float,uniform,PoisFFT,"D | D | D | D",64,5,       0.081729
2,float,uniform,PoisFFT,"D | D | D | D",64,6,       0.081899
2,float,uniform,PoisFFT,"D | D | D | D",64,7,       0.085249
2,float,uniform,PoisFFT,"D | D | D | D",64,8,       0.082039
2,float,uniform,PoisFFT,"D | D | D | D",64,9,       0.081669
2,float,uniform,PoisFFT,"D | D | D | D",64,10,       0.081919
2,float,uniform,PoisFFT,"D | D | D | D",64,11,       0.081649
2,float,uniform,PoisFFT,"D | D | D | D",64,12,       0.081879
2,float,uniform,PoisFFT,"D | D | D | D",64,13,       0.081639
2,float,uniform,PoisFFT,"D | D | D | D",64,14,       0.081729
2,float,uniform,PoisFFT,"D | D | D | D",64,15,       0.081789
2,float,uniform,PoisFFT,"D | D | D | D",64,16,       0.086279
2,float,uniform,PoisFFT,"D | D | D | D",64,17,       0.081809
2,float,uniform,PoisFFT,"D | D | D | D",64,18,       0.081729
2,float,uniform,PoisFFT,"D | D | D | D",64,19,       0.081739
2,float,uniform,PoisFFT,"D | D | D | D",64,20,       0.081619
2,float,uniform,PoisFFT,"D | D | D | D",64,21,       0.082689
2,float,uniform,PoisFFT,"D | D | D | D",64,22,       0.081868
2,float,uniform,PoisFFT,"D | D | D | D",64,23,       0.081669
2,float,uniform,PoisFFT,"D | D | D | D",64,24,       0.082209
2,float,uniform,PoisFFT,"D | D | D | D",64,25,       0.082069
2,float,uniform,PoisFFT,"D | D | D | D",64,26,       0.081739
2,float,uniform,PoisFFT,"D | D | D | D",64,27,       0.083379
2,float,uniform,PoisFFT,"D | D | D | D",64,28,       0.082079
2,float,uniform,PoisFFT,"D | D | D | D",64,29,       0.081689
2,float,uniform,PoisFFT,"D | D | D | D",64,30,       0.081689
2,float,uniform,PoisFFT,"D | D | D | D",64,31,       0.081819
2,float,uniform,PoisFFT,"D | D | D | D",64,32,       0.082039
2,float,uniform,PoisFFT,"D | D | D | D",64,33,       0.081919
2,float,uniform,PoisFFT,"D | D | D | D",64,34,       0.081680
2,float,uniform,PoisFFT,"D | D | D | D",64,35,       0.087029
2,float,uniform,PoisFFT,"D | D | D | D",64,36,       0.081779
2,float,uniform,PoisFFT,"D | D | D | D",64,37,       0.081759
2,float,uniform,PoisFFT,"D | D | D | D",64,38,       0.081689
2,float,uniform,PoisFFT,"D | D | D | D",64,39,       0.082548
2,float,uniform,PoisFFT,"D | D | D | D",64,40,       0.081629
2,float,uniform,PoisFFT,"D | D | D | D",64,41,       0.081699
2,float,uniform,PoisFFT,"D | D | D | D",64,42,       0.081709
2,float,uniform,PoisFFT,"D | D | D | D",64,43,       0.081609
2,float,uniform,PoisFFT,"D | D | D | D",64,44,       0.087599
2,float,uniform,PoisFFT,"D | D | D | D",64,45,       0.081629
2,float,uniform,PoisFFT,"D | D | D | D",64,46,       0.081769
2,float,uniform,PoisFFT,"D | D | D | D",64,47,       0.081629
2,float,uniform,PoisFFT,"D | D | D | D",64,48,       0.081879
2,float,uniform,PoisFFT,"D | D | D | D",64,49,       0.081869
2,float,uniform,PoisFFT,"D | D | D | D",64,50,       0.081830
2,float,uniform,PoisFFT,"D | D | D | D",64,51,       0.081680
