dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,0,       0.039010
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,1,       0.032540
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,2,       0.032190
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,3,       0.032069
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,4,       0.032060
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,5,       0.036680
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,6,       0.032110
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,7,       0.031990
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,8,       0.031980
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,9,       0.032030
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,10,       0.031980
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,11,       0.032029
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,12,       0.032000
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,13,       0.032010
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,14,       0.031999
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,15,       0.031980
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,16,       0.032819
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,17,       0.031979
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,18,       0.031970
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,19,       0.032039
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,20,       0.032010
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,21,       0.032000
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,22,       0.032129
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,23,       0.032100
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,24,       0.032100
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,25,       0.031989
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,26,       0.032010
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,27,       0.031950
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,28,       0.031959
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,29,       0.032020
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,30,       0.031949
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,31,       0.032000
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,32,       0.032050
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,33,       0.032000
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,34,       0.031960
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,35,       0.032010
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,36,       0.031949
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,37,       0.031980
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,38,       0.031969
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,39,       0.031970
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,40,       0.032080
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,41,       0.032089
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,42,       0.031990
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,43,       0.031959
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,44,       0.031969
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,45,       0.031950
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,46,       0.031979
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,47,       0.031990
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,48,       0.031970
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,49,       0.031990
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,50,       0.031960
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,51,       0.031970
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,52,       0.031990
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,53,       0.032180
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,54,       0.031969
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,55,       0.031900
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,56,       0.031950
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,57,       0.036899
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,58,       0.032130
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,59,       0.032029
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,60,       0.031930
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,61,       0.032200
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,62,       0.032920
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,63,       0.032260
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,64,       0.032189
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,65,       0.032070
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,66,       0.032080
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,67,       0.031990
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,68,       0.032000
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,69,       0.031999
