dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,0,       1.394885
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,1,       0.692903
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,2,       0.638423
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,3,       0.652843
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,4,       0.667842
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,5,       0.643243
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,6,       0.634073
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,7,       0.622673
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,8,       0.670133
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,9,       0.626163
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,10,       0.604944
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,11,       0.679803
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,12,       0.657863
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,13,       0.648903
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,14,       0.620673
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,15,       0.653863
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,16,       0.621263
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,17,       0.631093
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,18,       0.611933
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,19,       0.660563
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,20,       0.620054
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,21,       0.677333
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,22,       0.646573
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,23,       0.650623
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,24,       0.619653
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,25,       0.626983
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,26,       0.653103
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,27,       0.643003
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,28,       0.645513
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,29,       0.621823
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,30,       0.633883
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,31,       0.619163
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,32,       0.672992
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,33,       0.626343
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,34,       0.628543
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,35,       0.613664
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,36,       0.618303
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,37,       0.639713
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,38,       0.670972
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,39,       0.682213
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,40,       0.641122
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,41,       0.627663
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,42,       0.614413
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,43,       0.647303
