dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,0,       1.173466
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,1,       0.503084
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,2,       0.494894
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,3,       0.502564
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,4,       0.501174
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,5,       0.500354
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,6,       0.501284
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,7,       0.497524
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,8,       0.493094
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,9,       0.489174
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,10,       0.485224
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,11,       0.500544
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,12,       0.483334
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,13,       0.495344
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,14,       0.488274
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,15,       0.495174
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,16,       0.490294
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,17,       0.488544
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,18,       0.491024
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,19,       0.489884
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,20,       0.483284
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,21,       0.475504
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,22,       0.498023
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,23,       0.488044
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,24,       0.494144
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,25,       0.489714
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,26,       0.483235
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,27,       0.485624
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,28,       0.491714
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,29,       0.509014
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,30,       0.482954
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,31,       0.493014
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,32,       0.480194
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,33,       0.489494
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,34,       0.492144
