dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,70,       0.401016
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,71,       0.402385
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,72,       0.392415
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,73,       0.395556
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,74,       0.399266
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,0,       6.177052
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,1,       5.163384
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,2,       5.075064
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,3,       5.191903
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,4,       5.236513
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,5,       5.114264
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,6,       5.092554
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,7,       5.008795
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,8,       5.133814
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,9,       5.139833
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,10,       5.118904
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,11,       5.068404
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,12,       5.065315
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,13,       5.138684
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,14,       5.147164
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,15,       5.044264
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,16,       5.062864
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,17,       5.169513
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,18,       5.110674
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,19,       5.136764
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,20,       5.075494
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,21,       5.105744
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,22,       5.141103
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,23,       5.127524
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,24,       5.093994
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,25,       5.113704
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,26,       5.116374
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,27,       5.096313
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,28,       5.074214
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,29,       5.103854
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,30,       5.125663
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,31,       5.068324
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,32,       5.084254
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,33,       5.039335
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,34,       5.140164
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,35,       5.203973
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,36,       5.142183
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,37,       5.034484
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,38,       5.054495
