dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,0,      16.761024
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,1,      17.256068
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,2,      17.334048
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,3,      16.732994
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,4,      16.718205
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,5,      17.181419
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,6,      22.516440
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,7,      16.809724
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,8,      17.370697
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,9,      16.665835
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,10,      17.373547
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,11,      17.412627
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,12,      17.163039
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,13,       9.032080
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,14,       0.876860
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,15,       0.904560
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,16,       0.934739
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,17,       0.948990
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,18,       0.974709
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,19,       0.939970
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,20,       0.918860
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,21,       0.912489
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,22,       0.908760
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,23,       0.962219
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,24,       0.959789
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,25,       0.921580
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,26,       0.936419
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,27,       0.953929
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,28,       0.933169
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,29,       0.959840
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,30,       0.899539
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,31,       0.904980
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,32,       0.951929
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,33,       0.945050
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,34,       0.947450
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,35,       0.925150
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,36,       0.898490
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,37,       0.976079
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,38,       0.965959
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,39,       0.966669
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,40,       0.994989
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,41,       0.939549
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,42,       0.941159
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,43,       0.957020
