dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,0,      16.975706
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,1,       3.764429
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,2,       1.196577
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,3,       1.320856
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,4,       1.522654
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,5,       1.151957
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,6,       1.426855
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,7,       1.359675
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,8,       1.356406
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,9,       1.594452
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,10,       1.723541
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,11,       1.221617
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,12,       1.376515
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,13,       1.276626
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,14,       1.458475
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,15,       1.518774
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,16,       1.691982
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,17,       1.779540
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,18,       1.425355
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,19,       1.916490
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,20,       1.569533
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,21,       1.444275
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,22,       1.609252
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,23,       1.285176
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,24,       1.437084
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,25,       2.008608
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,26,       1.920199
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,27,       1.385915
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,28,       1.587753
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,29,       1.433924
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,30,       1.498574
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,31,       1.429704
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,32,       1.468434
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,33,       1.285766
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,34,       1.877100
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,35,       1.430144
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,36,       1.540993
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,37,       1.321905
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,38,       1.248406
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,39,       1.268797
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,40,       1.237967
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,41,       1.462914
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,42,       1.385125
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,43,       1.350815
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,44,       1.355035
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,45,       1.306956
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,46,       1.471254
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,47,       1.341266
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,48,       1.288537
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,49,       1.450335
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,50,       1.402354
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,51,       1.423705
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,52,       1.383315
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,53,       1.420255
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,54,       1.524533
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,55,       1.323656
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,56,       1.367545
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,57,       1.523443
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,58,       1.510034
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,59,       1.530984
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,60,       1.434494
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,61,       1.445965
