dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,0,       1.062599
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,1,       0.292476
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,2,       0.307476
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,3,       0.313906
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,4,       0.293597
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,5,       0.283007
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,6,       0.293217
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,7,       0.292437
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,8,       0.302677
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,9,       0.286197
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,10,       0.302827
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,11,       0.302537
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,12,       0.290566
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,13,       0.308936
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,14,       0.294527
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,15,       0.292337
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,16,       0.297497
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,17,       0.311847
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,18,       0.289237
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,19,       0.290347
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,20,       0.303127
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,21,       0.318486
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,22,       0.310086
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,23,       0.306536
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,24,       0.302957
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,25,       0.321707
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,26,       0.336107
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,27,       0.311267
