dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,0,       1.240236
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,1,       0.557163
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,2,       0.548233
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,3,       0.542264
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,4,       0.541814
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,5,       0.546414
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,6,       0.553004
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,7,       0.555194
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,8,       0.552313
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,9,       0.545413
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,10,       0.547134
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,11,       0.541754
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,12,       0.547054
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,13,       0.546603
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,14,       0.552084
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,15,       0.549634
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,16,       0.549024
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,17,       0.541873
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,18,       0.548103
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,19,       0.563853
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,20,       0.547374
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,21,       0.552234
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,22,       0.537994
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,23,       0.544703
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,24,       0.545574
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,25,       0.549484
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,26,       0.548283
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,27,       0.554434
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,28,       0.552693
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,29,       0.544853
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,30,       0.546254
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,31,       0.547264
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,32,       0.550964
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,33,       0.548534
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,34,       0.552444
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,35,       0.545313
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,36,       0.553563
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,37,       0.542374
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,38,       0.558393
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,39,       0.552853
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,40,       0.552923
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,41,       0.541234
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,42,       0.552254
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,43,       0.543964
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,44,       0.550004
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,45,       0.546324
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,46,       0.546884
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,47,       0.546704
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,48,       0.545054
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,49,       0.542913
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,50,       0.542974
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,51,       0.552613
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,52,       0.551473
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,53,       0.555673
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,54,       0.541533
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,55,       0.544224
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,56,       0.572363
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,57,       0.552694
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,58,       0.545764
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,59,       0.547253
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,60,       0.552653
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,61,       0.545544
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,62,       0.546073
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,63,       0.545354
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,64,       0.551674
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,65,       0.546813
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,66,       0.547674
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,67,       0.543973
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,68,       0.546503
