dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,0,      16.797513
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,1,      17.731603
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,2,      17.595134
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,3,      17.596724
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,4,      17.636114
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,5,      17.643124
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,6,      17.570304
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,7,      17.601144
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,8,      17.577085
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,9,      17.691983
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,10,      17.578355
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,11,      17.627584
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,12,      17.633444
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,13,      17.685124
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,14,      17.637873
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,15,      17.615124
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,16,      17.596644
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,17,      17.678964
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,18,      17.595514
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,19,      17.562465
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,20,      17.600374
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,21,      17.640184
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,22,      17.592634
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,23,      17.597624
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,24,      17.634763
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,25,      17.625084
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,26,      17.616074
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,27,      17.612584
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,28,      17.636513
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,29,      17.626943
