dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
2,double,uniform,PoisFFT,"P | P | P | P",128,6,       0.136608
2,double,uniform,PoisFFT,"P | P | P | P",128,7,       0.136818
2,double,uniform,PoisFFT,"P | P | P | P",128,8,       0.141569
2,double,uniform,PoisFFT,"P | P | P | P",128,9,       0.136928
2,double,uniform,PoisFFT,"P | P | P | P",128,10,       0.136549
2,double,uniform,PoisFFT,"P | P | P | P",128,11,       0.136579
2,double,uniform,PoisFFT,"P | P | P | P",128,12,       0.136998
2,double,uniform,PoisFFT,"P | P | P | P",128,13,       0.137229
2,double,uniform,PoisFFT,"P | P | P | P",128,14,       0.135738
2,double,uniform,PoisFFT,"P | P | P | P",128,15,       0.136498
2,double,uniform,PoisFFT,"P | P | P | P",128,16,       0.136769
2,double,uniform,PoisFFT,"P | P | P | P",128,17,       0.137258
2,double,uniform,PoisFFT,"P | P | P | P",128,18,       0.142128
2,double,uniform,PoisFFT,"P | P | P | P",128,19,       0.137399
2,double,uniform,PoisFFT,"P | P | P | P",128,20,       0.137008
2,double,uniform,PoisFFT,"P | P | P | P",128,21,       0.140079
2,double,uniform,PoisFFT,"P | P | P | P",128,22,       0.136669
2,double,uniform,PoisFFT,"P | P | P | P",128,23,       0.137348
2,double,uniform,PoisFFT,"P | P | P | P",128,24,       0.136359
2,double,uniform,PoisFFT,"P | P | P | P",128,25,       0.135968
2,double,uniform,PoisFFT,"P | P | P | P",128,26,       0.136799
2,double,uniform,PoisFFT,"P | P | P | P",128,27,       0.136669
2,double,uniform,PoisFFT,"P | P | P | P",128,28,       0.137398
2,double,uniform,PoisFFT,"P | P | P | P",128,29,       0.136699
2,double,uniform,PoisFFT,"P | P | P | P",128,30,       0.137049
2,double,uniform,PoisFFT,"P | P | P | P",128,31,       0.136788
2,double,uniform,PoisFFT,"P | P | P | P",128,32,       0.136139
2,double,uniform,PoisFFT,"P | P | P | P",128,33,       0.136388
2,double,uniform,PoisFFT,"P | P | P | P",128,34,       0.140998
2,double,uniform,PoisFFT,"P | P | P | P",128,35,       0.136649
2,double,uniform,PoisFFT,"P | P | P | P",128,36,       0.136608
2,double,uniform,PoisFFT,"P | P | P | P",128,37,       0.136329
2,double,uniform,PoisFFT,"P | P | P | P",128,38,       0.136429
2,double,uniform,PoisFFT,"P | P | P | P",128,39,       0.136808
2,double,uniform,PoisFFT,"P | P | P | P",128,40,       0.136099
2,double,uniform,PoisFFT,"P | P | P | P",128,41,       0.136539
2,double,uniform,PoisFFT,"P | P | P | P",128,42,       0.137428
