dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,0,       1.381775
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,1,       0.408146
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,2,       0.398606
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,3,       0.406136
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,4,       0.406016
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,5,       0.415555
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,6,       0.406625
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,7,       0.400336
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,8,       0.401066
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,9,       0.406895
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,10,       0.410986
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,11,       0.412406
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,12,       0.405115
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,13,       0.398785
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,14,       0.405006
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,15,       0.400446
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,16,       0.403016
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,17,       0.409255
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,18,       0.410015
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,19,       0.398255
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,20,       0.400826
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,21,       0.400835
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,22,       0.413046
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,23,       0.404535
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,24,       0.414815
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,25,       0.415166
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,26,       0.410365
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,27,       0.409095
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,28,       0.406915
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,29,       0.409866
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,30,       0.407085
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,31,       0.411455
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,32,       0.406945
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,33,       0.401105
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,34,       0.398695
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,35,       0.403205
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,36,       0.410546
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,37,       0.400995
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,38,       0.411255
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,39,       0.413665
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,40,       0.408876
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,41,       0.409666
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,42,       0.413065
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,43,       0.406985
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,44,       0.406725
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,45,       0.406556
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,46,       0.402446
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,47,       0.401955
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,48,       0.408355
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,49,       0.406395
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,50,       0.400525
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,51,       0.399495
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,52,       0.403755
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,53,       0.417156
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,54,       0.412155
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,55,       0.410015
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,56,       0.430395
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,57,       0.405246
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,58,       0.409965
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,59,       0.412196
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,60,       0.407675
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,61,       0.405005
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,62,       0.401985
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,63,       0.402976
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,64,       0.406435
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,65,       0.401446
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,66,       0.405515
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,67,       0.406466
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,68,       0.409845
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,69,       0.407545
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,70,       0.407786
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,71,       0.402475
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,72,       0.404436
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,73,       0.408476
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,74,       0.408646
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,0,       4.186543
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,1,       3.140705
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,2,       3.104035
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,3,       3.155225
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,4,       3.119405
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,5,       3.090246
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,6,       3.103726
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,7,       3.095905
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,8,       3.152265
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,9,       3.107985
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,10,       3.130754
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,11,       3.129545
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,12,       3.113445
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,13,       3.147905
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,14,       3.110165
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,15,       3.092545
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,16,       3.120785
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,17,       3.131985
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,18,       3.136245
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,19,       3.122325
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,20,       3.090685
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,21,       3.148814
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,22,       3.116555
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,23,       3.127545
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,24,       3.118125
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,25,       3.090315
