dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,65,       0.644643
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,66,       0.647963
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,67,       0.678602
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,68,       0.608374
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,69,       0.661253
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,70,       0.653873
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,71,       0.627333
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,72,       0.622103
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,73,       0.643433
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,74,       0.641763
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,0,       5.550460
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,1,       4.617371
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,2,       4.746408
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,3,       4.564420
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,4,       4.646480
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,5,       4.577761
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,6,       4.717570
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,7,       4.640580
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,8,       4.557160
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,9,       4.776118
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,10,       4.746459
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,11,       4.801888
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,12,       4.532811
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,13,       4.688159
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,14,       4.675660
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,15,       4.695480
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,16,       4.770848
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,17,       4.684150
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,18,       4.692970
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,19,       4.529961
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,20,       4.830448
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,21,       4.721999
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,22,       5.018276
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,23,       4.721299
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,24,       4.592890
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,25,       4.817338
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,26,       4.752089
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,27,       4.623961
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,28,       4.676200
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,29,       4.797399
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,30,       4.923107
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,31,       4.731159
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,32,       4.724539
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,33,       4.603091
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,34,       4.598460
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,35,       4.593781
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,36,       4.568051
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,37,       4.794139
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,38,       4.631461
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,39,       4.830028
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,40,       4.572031
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,41,       4.710520
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,42,       4.667560
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,43,       4.721169
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,44,       4.728319
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,45,       4.857348
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,46,       4.749039
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,47,       4.679920
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,48,       4.611091
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,49,       4.781829
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,50,       4.934117
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,51,       4.631670
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,52,       4.669219
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,53,       4.808968
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,54,       4.858217
