dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,323,0,    2658.727055
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,323,1,    2660.715099
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,323,2,    2661.020413
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,323,3,    2662.551315
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,323,4,    2660.293871
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,323,5,    2661.264079
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,323,6,    2663.288107
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,323,7,    2683.149046
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,323,8,    2720.816306
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,323,9,    2726.232086
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,323,10,    2684.392797
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,323,11,    2787.754994
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,323,12,    2725.947504
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,323,13,    2723.565286
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,323,14,    2733.068224
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,323,15,    2688.570682
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,323,16,    2658.659738
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,323,17,    2698.645212
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,323,18,    2724.938366
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,323,19,    2710.566439
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,323,20,    2724.057961
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,323,21,    2735.026962
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,323,22,    2661.714985
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,323,23,    2700.284581
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,323,24,    2664.514062
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,323,25,    2666.920706
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,323,26,    2699.322307
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,323,27,    2722.970782
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,323,28,    2727.799820
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,323,29,    2723.424737
