dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,465,0,   12888.122672
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,465,1,   12862.888717
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,465,2,   12867.483361
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,465,3,   12856.457961
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,465,4,   12850.616903
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,465,5,   12851.148414
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,465,6,   12855.356859
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,465,7,   12856.175117
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,465,8,   12868.918430
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,465,9,   12886.015059
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,465,10,   12857.235186
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,465,11,   12863.183572
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,465,12,   12868.695795
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,465,13,   12861.063951
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,465,14,   12862.050862
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,465,15,   12858.984438
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,465,16,   12859.194314
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,465,17,   12859.547920
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,465,18,   12859.659109
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,465,19,   12859.476461
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,465,20,   12859.476362
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,465,21,   12863.083591
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,465,22,   12861.602554
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,465,23,   12865.675564
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,465,24,   12860.372391
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,465,25,   12857.654422
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,465,26,   12856.300563
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,465,27,   12859.802579
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,465,28,   12852.174444
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,465,29,   12857.830601
