dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,161,0,      51.882049
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,161,1,      48.771882
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,161,2,      49.278744
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,161,3,      48.429253
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,161,4,      50.057940
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,161,5,      48.778284
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,161,6,      48.360894
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,161,7,      49.216659
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,161,8,      49.094487
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,161,9,      49.709915
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,161,10,      48.992380
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,161,11,      49.140309
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,161,12,      51.086185
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,161,13,      50.090076
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,161,14,      50.404295
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,161,15,      48.884479
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,161,16,      48.825004
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,161,17,      48.920127
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,161,18,      49.758419
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,161,19,      49.249190
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,161,20,      49.414625
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,161,21,      48.819546
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,161,22,      49.394412
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,161,23,      48.885541
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,161,24,      48.931652
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,161,25,      48.695879
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,161,26,      48.777410
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,161,27,      49.355369
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,161,28,      49.081393
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,161,29,      49.400423
