dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,0,    3559.232189
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,1,    3489.121370
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,2,    3464.232366
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,3,    3446.353645
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,4,    3436.580082
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,5,    3435.802477
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,6,    3426.214574
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,7,    3426.318152
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,8,    3425.432617
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,9,    3431.503681
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,10,    3427.021887
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,11,    3431.374156
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,12,    3434.102410
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,13,    3432.387536
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,14,    3431.002613
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,15,    3426.916740
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,16,    3419.541808
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,17,    3417.537544
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,18,    3419.800995
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,19,    3419.471351
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,20,    3417.407865
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,21,    3415.757876
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,22,    3417.064705
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,23,    3420.066336
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,24,    3418.693894
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,25,    3450.256643
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,26,    3470.669548
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,27,    3453.532363
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,28,    3427.613054
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,29,    3422.810437
