dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,256,0,    2124.612918
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,256,1,    2122.443237
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,256,2,    2122.830268
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,256,3,    2121.499830
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,256,4,    2122.486480
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,256,5,    2121.461980
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,256,6,    2122.494049
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,256,7,    2121.316734
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,256,8,    2120.021221
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,256,9,    2121.250860
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,256,10,    2121.543905
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,256,11,    2121.203896
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,256,12,    2121.207476
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,256,13,    2122.957573
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,256,14,    2122.653351
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,256,15,    2123.292013
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,256,16,    2121.793540
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,256,17,    2120.935367
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,256,18,    2122.100303
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,256,19,    2121.961855
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,256,20,    2120.966157
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,256,21,    2121.177435
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,256,22,    2121.882765
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,256,23,    2120.583331
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,256,24,    2121.147996
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,256,25,    2121.296567
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,256,26,    2121.665077
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,256,27,    2120.836569
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,256,28,    2121.151601
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,256,29,    2120.814895
