dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,0,      91.226645
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,1,      85.527357
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,2,      86.012831
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,3,      85.224975
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,4,      85.298602
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,5,      85.839633
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,6,      85.464336
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,7,      85.284555
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,8,      85.550104
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,9,      85.037051
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,10,      85.858253
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,11,      84.927418
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,12,      85.650145
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,13,      85.778040
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,14,      85.859669
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,15,      85.603948
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,16,      85.598418
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,17,      85.059942
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,18,      85.631121
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,19,      85.323224
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,20,      85.511848
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,21,      85.560855
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,22,      85.297142
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,23,      86.710358
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,24,      86.783728
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,25,      85.486164
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,26,      85.623308
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,27,      85.673037
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,28,      85.654981
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,29,      85.436430
