dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,0,    1835.746580
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,1,    1836.171604
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,2,    1760.176826
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,3,    1757.934891
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,4,    1755.553248
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,5,    1760.138619
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,6,    1754.531003
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,7,    1759.466946
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,8,    1766.057700
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,9,    1756.888291
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,10,    1757.947304
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,11,    1757.834538
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,12,    1759.063950
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,13,    1763.178682
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,14,    1767.865525
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,15,    1759.514449
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,16,    1763.453836
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,17,    1760.292789
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,18,    1762.941612
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,19,    1764.393550
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,20,    1762.578546
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,21,    1759.617780
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,22,    1760.821669
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,23,    1760.336399
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,24,    1758.751334
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,25,    1758.268451
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,26,    1755.436720
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,27,    1760.716267
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,28,    1767.417902
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,29,    1767.530895
