dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,0,     864.500921
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,1,     863.046566
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,2,     864.224586
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,3,     863.796158
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,4,     865.710270
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,5,     864.813524
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,6,     863.074999
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,7,     863.920449
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,8,     864.542116
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,9,     865.157253
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,10,     863.571003
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,11,     864.669144
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,12,     863.223773
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,13,     864.093070
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,14,     862.730870
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,15,     863.551941
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,16,     863.083576
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,17,     864.870800
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,18,     863.689357
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,19,     863.760248
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,20,     863.574706
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,21,     864.211438
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,22,     863.589254
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,23,     863.204870
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,24,     862.931114
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,25,     866.057656
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,26,     864.024164
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,27,     863.084867
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,28,     863.521943
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,29,     863.974829
