dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,0,     545.127967
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,1,     538.783490
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,2,     542.655328
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,3,     535.018586
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,4,     538.867131
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,5,     534.462326
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,6,     536.497044
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,7,     678.641608
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,8,     530.164686
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,9,     533.207369
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,10,     535.575323
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,11,     520.113018
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,12,     539.638478
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,13,     529.944359
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,14,     539.664410
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,15,     543.715816
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,16,     536.289234
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,17,     534.483793
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,18,     547.033737
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,19,     555.258350
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,20,     541.257967
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,21,     564.694603
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,22,     559.146550
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,23,     540.678421
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,24,     544.388262
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,25,     553.680088
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,26,     550.798231
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,27,     544.924975
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,28,     539.687728
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,29,     548.242575
