dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,0,     900.854455
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,1,     898.973850
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,2,     903.715446
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,3,     900.421060
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,4,     899.465077
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,5,     900.035990
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,6,     901.578281
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,7,     903.072680
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,8,     898.399325
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,9,     908.751564
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,10,     900.023548
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,11,     897.153253
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,12,     901.020244
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,13,     900.600949
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,14,     901.238521
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,15,     898.917614
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,16,     900.850807
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,17,     900.820274
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,18,     900.728624
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,19,     900.563450
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,20,     899.814304
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,21,     900.359722
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,22,     899.026533
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,23,     900.067769
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,24,     901.795770
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,25,     902.415777
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,26,     899.104074
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,27,     897.215848
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,28,     900.671339
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,29,     902.450924
