dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,0,    1033.366932
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,1,    1037.917737
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,2,    1038.458303
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,3,    1036.449742
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,4,    1037.441273
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,5,    1037.113907
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,6,    1036.668537
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,7,    1036.969366
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,8,    1035.960917
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,9,    1037.074233
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,10,    1037.279448
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,11,    1037.206787
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,12,    1036.460372
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,13,    1036.814584
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,14,    1036.813182
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,15,    1036.589222
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,16,    1037.252398
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,17,    1038.640361
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,18,    1035.414197
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,19,    1036.624716
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,20,    1038.014427
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,21,    1036.030853
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,22,    1036.528499
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,23,    1036.025169
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,24,    1036.936029
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,25,    1037.208422
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,26,    1036.524650
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,27,    1037.987112
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,28,    1036.517831
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,29,    1036.991174
