dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,465,0,    2926.313462
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,465,1,    2883.248248
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,465,2,    2868.182547
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,465,3,    2864.964444
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,465,4,    2865.955938
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,465,5,    2855.721914
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,465,6,    2855.903681
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,465,7,    2828.763927
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,465,8,    2836.384407
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,465,9,    2832.715999
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,465,10,    2825.147363
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,465,11,    2827.541952
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,465,12,    2828.911016
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,465,13,    2831.506410
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,465,14,    2824.088512
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,465,15,    2824.723162
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,465,16,    2820.638918
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,465,17,    2823.420356
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,465,18,    2828.619065
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,465,19,    2824.186575
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,465,20,    2826.294569
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,465,21,    2824.414144
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,465,22,    2826.904704
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,465,23,    2830.689974
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,465,24,    2824.192648
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,465,25,    2826.438949
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,465,26,    2823.946801
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,465,27,    2830.466831
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,465,28,    2830.364472
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,465,29,    2830.540662
