dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,0,      70.626343
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,1,      65.827311
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,2,      65.524596
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,3,      65.825525
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,4,      66.092949
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,5,      65.747300
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,6,      66.144133
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,7,      65.676485
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,8,      65.752744
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,9,      66.062394
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,10,      65.885274
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,11,      65.811581
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,12,      65.508485
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,13,      65.736240
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,14,      65.791279
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,15,      65.577741
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,16,      66.025068
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,17,      65.713386
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,18,      66.393854
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,19,      65.627472
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,20,      65.668916
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,21,      68.608124
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,22,      65.976515
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,23,      66.153577
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,24,      66.112205
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,25,      65.431737
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,26,      69.336758
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,27,      65.442247
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,28,      65.780743
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,29,      65.677917
