dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,0,      69.255163
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,1,      65.150731
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,2,      66.022736
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,3,      65.386259
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,4,      65.962048
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,5,      65.068779
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,6,      65.556224
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,7,      70.465384
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,8,      64.839174
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,9,      65.134750
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,10,      64.854177
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,11,      65.405275
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,12,      65.568193
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,13,      65.816271
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,14,      65.619951
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,15,      66.082482
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,16,      64.988700
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,17,      65.643553
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,18,      65.774892
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,19,      66.260203
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,20,      65.764750
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,21,      64.341120
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,22,      65.922363
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,23,      64.661428
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,24,      65.693526
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,25,      65.184360
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,26,      65.719241
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,27,      65.295206
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,28,      65.530982
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,29,      66.304898
